time_index,card.nic.pps.avg.r
1781829600000.0,533121
1781829615000.0,539638
1781829630000.0,546297
1781829645000.0,555030
1781829660000.0,561654
1781829675000.0,578588
1781829690000.0,560552
1781829705000.0,511993
1781829720000.0,539732
1781829735000.0,562224
1781829750000.0,511492
1781829765000.0,547016
1781829780000.0,560422
1781829795000.0,542281
1781829810000.0,552907
1781829825000.0,631258
1781829840000.0,602042
1781829855000.0,622443
1781829870000.0,586870
1781829885000.0,605287
1781829900000.0,556478
1781829915000.0,540039
1781829930000.0,522324
1781829945000.0,485025
1781829960000.0,491507
1781829975000.0,498097
1781829990000.0,509244
1781830005000.0,509237
1781830020000.0,546748
1781830035000.0,518886
1781830050000.0,484429
1781830065000.0,470030
1781830080000.0,495056
1781830095000.0,422244
1781830110000.0,451626
1781830125000.0,437828
1781830140000.0,440938
1781830155000.0,377722
1781830170000.0,388142
1781830185000.0,376754
1781830200000.0,455964
1781830215000.0,410210
1781830230000.0,450800
1781830245000.0,459968
1781830260000.0,425072
1781830275000.0,471912
1781830290000.0,467641
1781830305000.0,402087
1781830320000.0,432456
1781830335000.0,455767
1781830350000.0,412732
1781830365000.0,481725
1781830380000.0,470138
1781830395000.0,435883
1781830410000.0,478277
1781830425000.0,456472
1781830440000.0,477640
1781830455000.0,439067
1781830470000.0,403372
1781830485000.0,417220
1781830500000.0,420228
1781830515000.0,434898
1781830530000.0,470964
1781830545000.0,493184
1781830560000.0,483425
1781830575000.0,509398
1781830590000.0,542686
1781830605000.0,544481
1781830620000.0,542078
1781830635000.0,467623
1781830650000.0,459463
1781830665000.0,459069
1781830680000.0,495532
1781830695000.0,536501
1781830710000.0,507619
1781830725000.0,513330
1781830740000.0,491504
1781830755000.0,503031
1781830770000.0,444888
1781830785000.0,470805
1781830800000.0,491991
1781830815000.0,438491
1781830830000.0,469759
1781830845000.0,442304
1781830860000.0,464724
1781830875000.0,480010
1781830890000.0,443437
1781830905000.0,494114
1781830920000.0,484146
1781830935000.0,425674
1781830950000.0,425118
1781830965000.0,412345
1781830980000.0,409566
1781830995000.0,443876
1781831010000.0,365754
1781831025000.0,417280
1781831040000.0,422908
1781831055000.0,403369
1781831070000.0,427205
1781831085000.0,423520
1781831100000.0,452060
1781831115000.0,468971
1781831130000.0,471384
1781831145000.0,497609
1781831160000.0,469154
1781831175000.0,447205
1781831190000.0,497523
1781831205000.0,471370
1781831220000.0,507377
1781831235000.0,529104
1781831250000.0,463804
1781831265000.0,445884
1781831280000.0,429406
1781831295000.0,428114
1781831310000.0,450062
1781831325000.0,437212
1781831340000.0,416879
1781831355000.0,483403
1781831370000.0,471858
1781831385000.0,507779
1781831400000.0,493229
1781831415000.0,432303
1781831430000.0,464219
1781831445000.0,423956
1781831460000.0,444440
1781831475000.0,466760
1781831490000.0,439758
1781831505000.0,499812
1781831520000.0,562994
1781831535000.0,493691
1781831550000.0,442277
1781831565000.0,426211
1781831580000.0,416161
1781831595000.0,433785
1781831610000.0,444835
1781831625000.0,448059
1781831640000.0,418713
1781831655000.0,419203
1781831670000.0,455807
1781831685000.0,424214
1781831700000.0,431153
1781831715000.0,425296
1781831730000.0,357855
1781831745000.0,375426
1781831760000.0,373987
1781831775000.0,412857
1781831790000.0,462006
1781831805000.0,468311
1781831820000.0,459354
