time_index,card.nic.bps.avg.t
1781829600000.0,356118376
1781829615000.0,353917976
1781829630000.0,352743520
1781829645000.0,566456840
1781829660000.0,398827000
1781829675000.0,491361680
1781829690000.0,357794960
1781829705000.0,355793000
1781829720000.0,354888424
1781829735000.0,357785680
1781829750000.0,355879520
1781829765000.0,353068200
1781829780000.0,354185400
1781829795000.0,358436720
1781829810000.0,368660640
1781829825000.0,356846616
1781829840000.0,353275800
1781829855000.0,343922640
1781829870000.0,355113560
1781829885000.0,358006376
1781829900000.0,350694720
1781829915000.0,356473856
1781829930000.0,389495296
1781829945000.0,485147800
1781829960000.0,356803960
1781829975000.0,356697216
1781829990000.0,353096984
1781830005000.0,355675240
1781830020000.0,523525320
1781830035000.0,356854092
1781830050000.0,363352984
1781830065000.0,354386176
1781830080000.0,356727360
1781830095000.0,354448520
1781830110000.0,351369216
1781830125000.0,353359104
1781830140000.0,356148160
1781830155000.0,354683880
1781830170000.0,356443624
1781830185000.0,351178000
1781830200000.0,354568576
1781830215000.0,1183868800
1781830230000.0,1438992000
1781830245000.0,1397896800
1781830260000.0,2230862000
1781830275000.0,1916331200
1781830290000.0,1809693480
1781830305000.0,1841819840
1781830320000.0,1802546400
1781830335000.0,1827448400
1781830350000.0,1740071600
1781830365000.0,1726426800
1781830380000.0,1702082560
1781830395000.0,1684730280
1781830410000.0,1694346120
1781830425000.0,1699013440
1781830440000.0,1694366000
1781830455000.0,1702582880
1781830470000.0,1695673440
1781830485000.0,1733309040
1781830500000.0,1695432920
1781830515000.0,1700527120
1781830530000.0,1696309200
1781830545000.0,1699189360
1781830560000.0,1691368000
1781830575000.0,1696137000
1781830590000.0,1692869000
1781830605000.0,1688773120
1781830620000.0,1108229120
1781830635000.0,1024077120
1781830650000.0,1171839800
1781830665000.0,1025647200
1781830680000.0,1022395680
1781830695000.0,1025575120
1781830710000.0,1055132800
1781830725000.0,1024984280
1781830740000.0,1020091000
1781830755000.0,1025951520
1781830770000.0,1050138800
1781830785000.0,1023443880
1781830800000.0,1020555880
1781830815000.0,1275822080
1781830830000.0,1017780960
1781830845000.0,1025074280
1781830860000.0,1056683520
1781830875000.0,1024504800
1781830890000.0,1022098400
1781830905000.0,1024350120
1781830920000.0,1022345840
1781830935000.0,426787944
1781830950000.0,307297080
1781830965000.0,314574720
1781830980000.0,343099264
1781830995000.0,356878824
1781831010000.0,352790376
1781831025000.0,356109400
1781831040000.0,356458060
1781831055000.0,355189144
1781831070000.0,357375540
1781831085000.0,355034280
1781831100000.0,932981640
1781831115000.0,1306031720
1781831130000.0,2206064640
1781831145000.0,2327579840
1781831160000.0,2358984800
1781831175000.0,2365814000
1781831190000.0,2367702240
1781831205000.0,2360741600
1781831220000.0,2362468560
1781831235000.0,2367989760
1781831250000.0,2368053200
1781831265000.0,2366193880
1781831280000.0,2356288120
1781831295000.0,2371750800
1781831310000.0,1789197200
1781831325000.0,1651185680
1781831340000.0,1030956120
1781831355000.0,610751960
1781831370000.0,351049040
1781831385000.0,361960320
1781831400000.0,358106856
1781831415000.0,352378880
1781831430000.0,361799784
1781831445000.0,368256616
1781831460000.0,349388480
1781831475000.0,354124620
1781831490000.0,358178228
1781831505000.0,349100760
1781831520000.0,432703960
1781831535000.0,358113920
1781831550000.0,348428184
1781831565000.0,356328856
1781831580000.0,359536680
1781831595000.0,351198976
1781831610000.0,978758000
1781831625000.0,1019903800
1781831640000.0,1024718400
1781831655000.0,1066824080
1781831670000.0,1028216640
1781831685000.0,1022865720
1781831700000.0,1024505120
1781831715000.0,1006945080
1781831730000.0,357330880
1781831745000.0,351791920
1781831760000.0,357850264
1781831775000.0,496001840
1781831790000.0,387135040
1781831805000.0,569276920
1781831820000.0,370939624
1781831835000.0,349120960
1781831850000.0,360028776
1781831865000.0,353413736
1781831880000.0,356236904
1781831895000.0,354419224
1781831910000.0,356650080
1781831925000.0,352823500
1781831940000.0,351012864
1781831955000.0,352721120
1781831970000.0,356156480
1781831985000.0,403856680
1781832000000.0,408299640
1781832015000.0,1950148600
1781832030000.0,1581852040
1781832045000.0,2012182920
1781832060000.0,2017928800
1781832075000.0,1276638320
1781832090000.0,1382589560
1781832105000.0,1634094200
1781832120000.0,1746083440
1781832135000.0,2296742800
1781832150000.0,1719173200
1781832165000.0,1698543920
1781832180000.0,1733391760
1781832195000.0,1687194800
1781832210000.0,870102240
1781832225000.0,1022606760
1781832240000.0,1025639000
1781832255000.0,1030528520
1781832270000.0,451665720
1781832285000.0,360114740
1781832300000.0,351524960
1781832315000.0,281529960
1781832330000.0,228786280
1781832345000.0,353401080
1781832360000.0,349398840
1781832375000.0,354533096
1781832390000.0,353964468
1781832405000.0,349922840
1781832420000.0,357692280
1781832435000.0,355049420
1781832450000.0,354321440
1781832465000.0,364715920
1781832480000.0,351375976
1781832495000.0,355748456
1781832510000.0,436176880
1781832525000.0,350479480
1781832540000.0,359671860
1781832555000.0,352297880
1781832570000.0,354103120
1781832585000.0,353492840
1781832600000.0,349137384
1781832615000.0,358572620
1781832630000.0,354628504
1781832645000.0,348994600
1781832660000.0,358079760
1781832675000.0,356329292
1781832690000.0,352753560
1781832705000.0,353649000
1781832720000.0,359547904
1781832735000.0,349976652
1781832750000.0,350856200
1781832765000.0,361478560
1781832780000.0,356977360
1781832795000.0,445583360
1781832810000.0,354570480
1781832825000.0,352622540
1781832840000.0,352229452
1781832855000.0,351034264
1781832870000.0,352472576
1781832885000.0,353662388
1781832900000.0,665591400
1781832915000.0,1572158040
1781832930000.0,1415836280
1781832945000.0,2103754120
1781832960000.0,2371347600
1781832975000.0,1718869200
1781832990000.0,1357994800
1781833005000.0,378976240
1781833020000.0,355531480
1781833035000.0,356287464
1781833050000.0,356138760
1781833065000.0,482206960
1781833080000.0,354580080
1781833095000.0,353792000
1781833110000.0,358619440
1781833125000.0,350940800
1781833140000.0,352522060
1781833155000.0,512817920
1781833170000.0,352094744
1781833185000.0,357750580
1781833200000.0,348377704
1781833215000.0,68988652
1781833230000.0,205915008
1781833245000.0,31156864
1781833260000.0,134652696
1781833275000.0,146280692
1781833290000.0,75184040
1781833305000.0,63863816
1781833320000.0,6384425
1781833335000.0,17058978
1781833350000.0,179525900
1781833365000.0,98761200
1781833380000.0,162872628
1781833395000.0,352870040
1781833410000.0,349322000
1781833425000.0,204235788
1781833440000.0,123637388
1781833455000.0,191191080
1781833470000.0,149988492
1781833485000.0,311387000
1781833500000.0,212009268
1781833515000.0,242397440
1781833530000.0,152739380
1781833545000.0,174112280
1781833560000.0,19949660
1781833575000.0,276984040
1781833590000.0,48199416
1781833605000.0,6716669
1781833620000.0,128895180
1781833635000.0,171272372
1781833650000.0,61212652
1781833665000.0,181318988
1781833680000.0,211244632
1781833695000.0,29933780
1781833710000.0,31781688
1781833725000.0,336560120
1781833740000.0,218344960
1781833755000.0,117713292
1781833770000.0,188725748
1781833785000.0,404815640
1781833800000.0,204583448
1781833815000.0,1055860320
1781833830000.0,974505680
1781833845000.0,2302559440
1781833860000.0,1977573200
1781833875000.0,1049455920
1781833890000.0,454474080
1781833905000.0,359512080
1781833920000.0,376495104
1781833935000.0,356930944
1781833950000.0,367445864
1781833965000.0,369948120
1781833980000.0,357692560
1781833995000.0,355138960
1781834010000.0,354386520
1781834025000.0,365312720
1781834040000.0,356592680
1781834055000.0,355958092
1781834070000.0,359421640
1781834085000.0,356993720
1781834100000.0,351211760
1781834115000.0,352874136
1781834130000.0,351412020
1781834145000.0,355254936
1781834160000.0,283453696
1781834175000.0,11055302
1781834190000.0,6195069
1781834205000.0,6588210
1781834220000.0,6410284
1781834235000.0,6816486
1781834250000.0,6050359
1781834265000.0,140979608
1781834280000.0,226078520
1781834295000.0,67701184
1781834310000.0,201679840
1781834325000.0,6140386
1781834340000.0,61082156
1781834355000.0,230761420
1781834370000.0,266049100
1781834385000.0,353195200
