time_index,card.nic.pps.avg.r
1781829600000.0,552512
1781829615000.0,488263
1781829630000.0,506406
1781829645000.0,553463
1781829660000.0,543342
1781829675000.0,592757
1781829690000.0,603891
1781829705000.0,558573
1781829720000.0,549733
1781829735000.0,527395
1781829750000.0,556374
1781829765000.0,532632
1781829780000.0,571807
1781829795000.0,554508
1781829810000.0,557522
1781829825000.0,517652
1781829840000.0,539626
1781829855000.0,512176
1781829870000.0,610052
1781829885000.0,586810
1781829900000.0,543013
1781829915000.0,468229
1781829930000.0,502682
1781829945000.0,523736
1781829960000.0,552843
1781829975000.0,578473
1781829990000.0,542406
1781830005000.0,561944
1781830020000.0,538996
1781830035000.0,566493
1781830050000.0,521440
1781830065000.0,546808
1781830080000.0,525422
1781830095000.0,549752
1781830110000.0,552058
1781830125000.0,503668
1781830140000.0,579833
1781830155000.0,536941
1781830170000.0,521280
1781830185000.0,481744
1781830200000.0,463848
1781830215000.0,421303
1781830230000.0,416725
1781830245000.0,461530
1781830260000.0,468277
1781830275000.0,534903
1781830290000.0,463963
1781830305000.0,480483
1781830320000.0,461690
1781830335000.0,474752
1781830350000.0,463756
1781830365000.0,507411
1781830380000.0,452818
1781830395000.0,407437
1781830410000.0,414139
1781830425000.0,403922
1781830440000.0,437150
1781830455000.0,406928
1781830470000.0,395612
1781830485000.0,367600
1781830500000.0,417871
1781830515000.0,407517
1781830530000.0,416213
1781830545000.0,462226
1781830560000.0,465053
1781830575000.0,501558
1781830590000.0,475827
1781830605000.0,456834
1781830620000.0,427365
1781830635000.0,391036
1781830650000.0,368263
1781830665000.0,396161
1781830680000.0,519826
1781830695000.0,508670
1781830710000.0,481378
1781830725000.0,494924
1781830740000.0,451218
1781830755000.0,447996
1781830770000.0,435850
1781830785000.0,429468
1781830800000.0,470236
1781830815000.0,443771
1781830830000.0,480194
1781830845000.0,473132
1781830860000.0,464890
1781830875000.0,470848
1781830890000.0,515750
1781830905000.0,516821
1781830920000.0,468579
1781830935000.0,528276
1781830950000.0,521985
1781830965000.0,510460
1781830980000.0,500192
1781830995000.0,540096
1781831010000.0,495524
1781831025000.0,478193
1781831040000.0,487019
1781831055000.0,516642
1781831070000.0,465191
1781831085000.0,424260
1781831100000.0,436626
1781831115000.0,516240
1781831130000.0,540633
1781831145000.0,496338
1781831160000.0,485307
1781831175000.0,478971
1781831190000.0,452622
1781831205000.0,411076
1781831220000.0,435520
1781831235000.0,436132
1781831250000.0,484475
1781831265000.0,468637
1781831280000.0,474056
1781831295000.0,552540
1781831310000.0,540706
1781831325000.0,506789
1781831340000.0,464096
1781831355000.0,432090
1781831370000.0,427763
1781831385000.0,409243
1781831400000.0,385509
1781831415000.0,420552
1781831430000.0,435229
1781831445000.0,413463
1781831460000.0,422050
1781831475000.0,386350
1781831490000.0,378266
1781831505000.0,390978
1781831520000.0,383234
