time_index,card.nic.bps.avg.r
1781829600000.0,6175211600
1781829615000.0,5391662800
1781829630000.0,5367032000
1781829645000.0,5502781200
1781829660000.0,5589045200
1781829675000.0,5380609200
1781829690000.0,5154596400
1781829705000.0,4884120400
1781829720000.0,5369334800
1781829735000.0,5551120800
1781829750000.0,5508327200
1781829765000.0,5637746800
1781829780000.0,5264474400
1781829795000.0,5696267200
1781829810000.0,5389598000
1781829825000.0,5885613600
1781829840000.0,5630270800
1781829855000.0,5302262800
1781829870000.0,5974036000
1781829885000.0,6269907200
1781829900000.0,6234081600
1781829915000.0,6132804800
1781829930000.0,6296104000
1781829945000.0,5568756800
1781829960000.0,5958147600
1781829975000.0,5527374000
1781829990000.0,5781488800
1781830005000.0,5453745600
1781830020000.0,5223933200
1781830035000.0,4795462000
1781830050000.0,5335903600
1781830065000.0,4635519200
1781830080000.0,5419720800
1781830095000.0,5691658800
1781830110000.0,5711768800
1781830125000.0,5402118400
1781830140000.0,5664486000
1781830155000.0,5472892400
1781830170000.0,5213923600
1781830185000.0,4608515600
1781830200000.0,5218134800
1781830215000.0,5041067600
1781830230000.0,4745388000
1781830245000.0,4968991200
1781830260000.0,4851357600
1781830275000.0,4641651200
1781830290000.0,5243409600
1781830305000.0,5337798000
1781830320000.0,5378801600
1781830335000.0,5566596800
1781830350000.0,5818042400
1781830365000.0,5660120400
1781830380000.0,6326013200
1781830395000.0,5916027200
1781830410000.0,5320500800
1781830425000.0,5290117200
1781830440000.0,5251483200
1781830455000.0,4984471600
1781830470000.0,4842971200
1781830485000.0,4407613200
1781830500000.0,4336093200
1781830515000.0,5400292400
1781830530000.0,4723095600
1781830545000.0,4568604400
1781830560000.0,4596273200
1781830575000.0,4806354800
1781830590000.0,4783207600
1781830605000.0,4990602000
1781830620000.0,4588516000
1781830635000.0,5300402800
1781830650000.0,4921130000
1781830665000.0,5163959600
1781830680000.0,4456830000
1781830695000.0,4591672400
1781830710000.0,4623956000
1781830725000.0,5056573200
1781830740000.0,4797912400
1781830755000.0,3919310000
1781830770000.0,4293174400
1781830785000.0,4278773600
1781830800000.0,4252903600
1781830815000.0,4731630000
1781830830000.0,5123943200
1781830845000.0,4871440800
1781830860000.0,4673080400
1781830875000.0,4572300000
1781830890000.0,4396811200
1781830905000.0,4439206800
1781830920000.0,4966104400
1781830935000.0,4635168800
1781830950000.0,4904098800
1781830965000.0,4611679200
1781830980000.0,5577764000
1781830995000.0,5133317600
1781831010000.0,4940153600
1781831025000.0,4612697200
1781831040000.0,5309617600
1781831055000.0,4631191200
1781831070000.0,4456385600
1781831085000.0,5156699200
1781831100000.0,4732090000
1781831115000.0,4860070800
1781831130000.0,4148735200
1781831145000.0,4699698800
1781831160000.0,5145597200
1781831175000.0,4819341600
1781831190000.0,4392202000
1781831205000.0,4648250800
1781831220000.0,4452051200
1781831235000.0,4508018800
1781831250000.0,4499273200
1781831265000.0,4653410400
1781831280000.0,5452023200
1781831295000.0,4544955600
1781831310000.0,4869998400
1781831325000.0,5288291200
1781831340000.0,4589624400
1781831355000.0,3801103600
1781831370000.0,3770449200
1781831385000.0,4418127600
1781831400000.0,4371961200
1781831415000.0,3708766400
1781831430000.0,3981675600
1781831445000.0,4409171600
1781831460000.0,3974312000
1781831475000.0,3640246400
1781831490000.0,3830592800
1781831505000.0,3418581800
1781831520000.0,3234028400
1781831535000.0,3570492400
1781831550000.0,3710274800
1781831565000.0,3637292800
1781831580000.0,3469971600
1781831595000.0,3426178680
1781831610000.0,3845493600
1781831625000.0,3657258000
1781831640000.0,2922142920
1781831655000.0,2988744000
1781831670000.0,3458452800
1781831685000.0,3906308800
1781831700000.0,3789658800
1781831715000.0,3833894400
1781831730000.0,3793002400
1781831745000.0,3799848000
1781831760000.0,3711730400
1781831775000.0,3648758800
1781831790000.0,3562812400
1781831805000.0,3902722400
1781831820000.0,3921881600
1781831835000.0,3869186800
1781831850000.0,4017286400
1781831865000.0,3792137600
1781831880000.0,3508964400
1781831895000.0,3336444920
1781831910000.0,3090335600
1781831925000.0,3689557600
1781831940000.0,3643682000
1781831955000.0,3511520800
1781831970000.0,3287583600
1781831985000.0,3101762800
1781832000000.0,2619770000
1781832015000.0,3051452640
1781832030000.0,3196029200
1781832045000.0,3068000800
1781832060000.0,3233294000
1781832075000.0,3518944000
1781832090000.0,3735655200
1781832105000.0,4063443200
1781832120000.0,4038380400
1781832135000.0,3830414000
1781832150000.0,3814418000
1781832165000.0,3828734000
1781832180000.0,3543262800
1781832195000.0,3421821200
1781832210000.0,3450800000
1781832225000.0,3749239200
1781832240000.0,3363904800
1781832255000.0,3010090000
1781832270000.0,3202779360
1781832285000.0,2926937600
1781832300000.0,2701953600
1781832315000.0,2904665600
1781832330000.0,3049872160
1781832345000.0,3039471200
1781832360000.0,3033053600
1781832375000.0,2781992160
1781832390000.0,2466831760
1781832405000.0,2932690400
1781832420000.0,3193233400
1781832435000.0,2814413200
1781832450000.0,2799209200
1781832465000.0,3076313600
1781832480000.0,2949785600
1781832495000.0,2906575200
1781832510000.0,3083682200
1781832525000.0,2780005600
1781832540000.0,2587927600
1781832555000.0,3081644400
1781832570000.0,2450089760
1781832585000.0,2428426000
1781832600000.0,2898020400
1781832615000.0,2999078280
1781832630000.0,2479823200
1781832645000.0,2559302800
1781832660000.0,2860340400
1781832675000.0,3374756640
1781832690000.0,3106632400
1781832705000.0,2690664240
1781832720000.0,3050236800
1781832735000.0,3150060120
1781832750000.0,2998717040
1781832765000.0,2604525600
1781832780000.0,3085385320
1781832795000.0,3694313200
1781832810000.0,3782285600
1781832825000.0,3851581600
1781832840000.0,3544918400
1781832855000.0,3396938120
1781832870000.0,3309579880
1781832885000.0,3306928120
1781832900000.0,2985450280
1781832915000.0,2981660800
1781832930000.0,3233804000
1781832945000.0,2797262400
1781832960000.0,2947772640
1781832975000.0,3380457600
1781832990000.0,3639015200
1781833005000.0,3605470800
1781833020000.0,3284391600
1781833035000.0,3312567720
1781833050000.0,3076607200
1781833065000.0,2696950160
1781833080000.0,3015400000
1781833095000.0,3181119480
1781833110000.0,3151159720
1781833125000.0,3350643720
1781833140000.0,3561991600
1781833155000.0,3837272800
1781833170000.0,3387685080
1781833185000.0,3676300000
1781833200000.0,3254115320
1781833215000.0,3020569800
1781833230000.0,3137778800
1781833245000.0,2956064960
1781833260000.0,2914127600
1781833275000.0,2938379480
1781833290000.0,2541330800
1781833305000.0,2316366640
1781833320000.0,2259929600
1781833335000.0,2543738800
1781833350000.0,2488048640
1781833365000.0,2881017040
1781833380000.0,3073782160
1781833395000.0,3166359600
1781833410000.0,2829717080
1781833425000.0,2899993200
1781833440000.0,3308970800
1781833455000.0,3106339600
1781833470000.0,2951340000
1781833485000.0,2666022400
1781833500000.0,2738442800
1781833515000.0,2468177720
1781833530000.0,2394195600
1781833545000.0,2122864240
1781833560000.0,2163072600
1781833575000.0,2087499360
1781833590000.0,1957392400
1781833605000.0,2278265840
1781833620000.0,2631008000
1781833635000.0,2424024680
1781833650000.0,2454815200
1781833665000.0,2561115360
1781833680000.0,2550778800
1781833695000.0,2699277200
1781833710000.0,2831207840
1781833725000.0,2856476800
1781833740000.0,2873975600
1781833755000.0,2943597360
1781833770000.0,2678827400
1781833785000.0,2372277040
1781833800000.0,2252922800
1781833815000.0,2136492240
1781833830000.0,2429512400
1781833845000.0,2208016600
1781833860000.0,2109474400
1781833875000.0,1991286000
1781833890000.0,2009169200
1781833905000.0,1996797320
1781833920000.0,2090168000
1781833935000.0,1779074400
1781833950000.0,1947567720
1781833965000.0,1544002560
1781833980000.0,1437907680
1781833995000.0,1578139600
1781834010000.0,1755271200
1781834025000.0,1907057440
1781834040000.0,1703913280
1781834055000.0,2095997760
1781834070000.0,2390401040
1781834085000.0,2227422800
1781834100000.0,2098827200
1781834115000.0,1590040400
1781834130000.0,1410052080
1781834145000.0,1529695600
1781834160000.0,1640909600
1781834175000.0,1433340000
1781834190000.0,1415860960
1781834205000.0,1778166560
1781834220000.0,1549381000
1781834235000.0,1701160160
1781834250000.0,1768403760
1781834265000.0,1540620480
1781834280000.0,1189600800
1781834295000.0,1213966400
1781834310000.0,1312649000
1781834325000.0,1282001600
1781834340000.0,1532500600
1781834355000.0,1726229600
1781834370000.0,1885463600
1781834385000.0,1919696000
1781834400000.0,2154554800
1781834415000.0,2096993600
1781834430000.0,2077533400
1781834445000.0,2063719440
1781834460000.0,1997826400
1781834475000.0,1883481480
1781834490000.0,2350551840
1781834505000.0,1882299600
1781834520000.0,1757484800
1781834535000.0,1695422040
1781834550000.0,1897143200
1781834565000.0,1612872600
1781834580000.0,1396198400
1781834595000.0,1289065680
1781834610000.0,1415497520
1781834625000.0,1618182000
1781834640000.0,1547417000
1781834655000.0,1569468000
