time_index,card.nic.pps.avg.r
1781829600000.0,417446
1781829615000.0,373651
1781829630000.0,400794
1781829645000.0,351824
1781829660000.0,381041
1781829675000.0,370070
1781829690000.0,409549
1781829705000.0,406096
1781829720000.0,426088
1781829735000.0,455256
1781829750000.0,454732
1781829765000.0,407598
1781829780000.0,408390
1781829795000.0,386900
1781829810000.0,409297
1781829825000.0,399179
1781829840000.0,345550
1781829855000.0,383305
1781829870000.0,443067
1781829885000.0,425226
1781829900000.0,433758
1781829915000.0,452434
1781829930000.0,470964
1781829945000.0,500964
1781829960000.0,437646
1781829975000.0,392314
1781829990000.0,402852
1781830005000.0,409363
1781830020000.0,412830
1781830035000.0,406518
1781830050000.0,398880
1781830065000.0,367476
1781830080000.0,408242
1781830095000.0,394162
1781830110000.0,403868
1781830125000.0,444429
1781830140000.0,412674
1781830155000.0,426453
1781830170000.0,433176
1781830185000.0,395850
1781830200000.0,399896
1781830215000.0,397718
1781830230000.0,362400
1781830245000.0,368094
1781830260000.0,398976
1781830275000.0,434656
1781830290000.0,398661
1781830305000.0,392615
1781830320000.0,377905
1781830335000.0,391823
1781830350000.0,403250
1781830365000.0,377950
1781830380000.0,379252
1781830395000.0,379246
1781830410000.0,356165
1781830425000.0,347916
1781830440000.0,351721
1781830455000.0,348197
1781830470000.0,442650
1781830485000.0,451985
1781830500000.0,403960
1781830515000.0,432199
1781830530000.0,398172
1781830545000.0,384597
1781830560000.0,395178
1781830575000.0,380742
1781830590000.0,367713
1781830605000.0,393892
1781830620000.0,354417
1781830635000.0,342199
1781830650000.0,375187
1781830665000.0,383256
1781830680000.0,372195
1781830695000.0,384654
1781830710000.0,394112
1781830725000.0,357916
1781830740000.0,389807
1781830755000.0,421085
1781830770000.0,444920
1781830785000.0,451297
1781830800000.0,418448
1781830815000.0,428454
1781830830000.0,428306
1781830845000.0,447726
1781830860000.0,405276
1781830875000.0,360426
1781830890000.0,341507
1781830905000.0,295025
1781830920000.0,285426
1781830935000.0,401410
1781830950000.0,360052
1781830965000.0,411655
1781830980000.0,337626
1781830995000.0,336030
1781831010000.0,346342
1781831025000.0,307030
1781831040000.0,335304
1781831055000.0,297541
1781831070000.0,306610
1781831085000.0,286917
1781831100000.0,301752
1781831115000.0,286468
1781831130000.0,284271
1781831145000.0,328420
1781831160000.0,324076
1781831175000.0,378119
1781831190000.0,387248
1781831205000.0,395281
1781831220000.0,411845
1781831235000.0,379746
1781831250000.0,376298
1781831265000.0,396298
