time_index,card.nic.bps.avg.r
1781829600000.0,5944115600
1781829615000.0,6142962000
1781829630000.0,5499021600
1781829645000.0,6152821600
1781829660000.0,6110008000
1781829675000.0,5634332800
1781829690000.0,5358116800
1781829705000.0,5400646800
1781829720000.0,5315994000
1781829735000.0,5293989200
1781829750000.0,5472176400
1781829765000.0,5417188000
1781829780000.0,5628173200
1781829795000.0,5304923600
1781829810000.0,5665821200
1781829825000.0,5456604400
1781829840000.0,5616936400
1781829855000.0,5546084800
1781829870000.0,5460968400
1781829885000.0,5251578800
1781829900000.0,5105453600
1781829915000.0,4554404000
1781829930000.0,4847052400
1781829945000.0,5235995600
1781829960000.0,5195148800
1781829975000.0,4341590400
1781829990000.0,4130027200
1781830005000.0,4156024400
1781830020000.0,4618387600
1781830035000.0,4679574000
1781830050000.0,4312274400
1781830065000.0,4740188400
1781830080000.0,4629026400
1781830095000.0,4738480000
1781830110000.0,4881434400
1781830125000.0,4189911600
1781830140000.0,4232557200
1781830155000.0,4105015200
1781830170000.0,3898301200
1781830185000.0,4691013600
1781830200000.0,4507616800
1781830215000.0,4134066400
1781830230000.0,4653621600
1781830245000.0,4149550400
1781830260000.0,3924381600
1781830275000.0,4742748400
1781830290000.0,4620856800
1781830305000.0,3921135200
1781830320000.0,4142486000
1781830335000.0,4943804400
1781830350000.0,4591308800
1781830365000.0,4143625600
1781830380000.0,4400793200
1781830395000.0,4680766000
1781830410000.0,5313366800
1781830425000.0,4651455200
1781830440000.0,4520714800
1781830455000.0,4839411600
1781830470000.0,4576991200
1781830485000.0,4978772400
1781830500000.0,4572405200
1781830515000.0,4386154800
1781830530000.0,4637410800
1781830545000.0,4575694400
1781830560000.0,4956737600
1781830575000.0,5239593200
1781830590000.0,5272984800
1781830605000.0,4964762400
1781830620000.0,5069990400
1781830635000.0,4962302400
1781830650000.0,4648510800
1781830665000.0,4619681200
1781830680000.0,4435745200
1781830695000.0,4434568000
1781830710000.0,4751614400
1781830725000.0,4853272800
1781830740000.0,4837948000
1781830755000.0,4638718400
1781830770000.0,4551126000
1781830785000.0,4946261600
1781830800000.0,4884922800
1781830815000.0,3975975200
1781830830000.0,4639100400
1781830845000.0,4408078400
1781830860000.0,5341036400
1781830875000.0,5408082400
1781830890000.0,5201421600
1781830905000.0,4836484000
1781830920000.0,5136824800
1781830935000.0,5175649200
1781830950000.0,4832036400
1781830965000.0,5301540800
1781830980000.0,4826356000
1781830995000.0,5062030400
1781831010000.0,5256120800
1781831025000.0,4777487200
1781831040000.0,4216006800
1781831055000.0,4182600800
1781831070000.0,4399947600
1781831085000.0,4761583600
1781831100000.0,4837553600
1781831115000.0,4859943600
1781831130000.0,4247484800
1781831145000.0,4440162400
1781831160000.0,4429853600
1781831175000.0,4898131200
1781831190000.0,4649918800
1781831205000.0,4261884800
1781831220000.0,4437828400
1781831235000.0,5015603600
1781831250000.0,4803960000
1781831265000.0,4410926800
1781831280000.0,4985966000
1781831295000.0,4405718000
1781831310000.0,4476978800
1781831325000.0,4382256000
1781831340000.0,4520673600
1781831355000.0,4619602400
1781831370000.0,4677989200
1781831385000.0,4597707600
1781831400000.0,4495120000
1781831415000.0,3978264400
1781831430000.0,4372662800
1781831445000.0,4549276400
1781831460000.0,4120223600
1781831475000.0,3571799200
1781831490000.0,3765619200
1781831505000.0,3806137200
1781831520000.0,4262612800
1781831535000.0,4230512000
1781831550000.0,4778830000
1781831565000.0,4259326800
1781831580000.0,4628593600
1781831595000.0,4900242400
1781831610000.0,4714095600
1781831625000.0,4197823200
1781831640000.0,4392912800
1781831655000.0,4496990400
1781831670000.0,4684360800
1781831685000.0,5171432800
1781831700000.0,5213146400
1781831715000.0,4839813600
1781831730000.0,4996663200
1781831745000.0,4602437600
1781831760000.0,4292030000
1781831775000.0,4164994400
1781831790000.0,4275683200
1781831805000.0,3955833200
1781831820000.0,3476338400
1781831835000.0,3702172800
1781831850000.0,3607698800
1781831865000.0,3667144000
1781831880000.0,3718096800
1781831895000.0,3804832000
1781831910000.0,3666480000
1781831925000.0,3732300400
1781831940000.0,3850178000
1781831955000.0,4058736800
1781831970000.0,4076737600
1781831985000.0,4274793600
1781832000000.0,4293046400
1781832015000.0,3933145600
1781832030000.0,3644361200
1781832045000.0,3827012000
1781832060000.0,3595916400
1781832075000.0,3465711600
1781832090000.0,3139101200
1781832105000.0,3081857200
1781832120000.0,2814831840
1781832135000.0,3710793200
1781832150000.0,3944039200
1781832165000.0,4075832000
1781832180000.0,3491981600
1781832195000.0,3336689040
1781832210000.0,3945290800
1781832225000.0,3682550800
1781832240000.0,4015466400
1781832255000.0,4002265200
1781832270000.0,3746808400
1781832285000.0,3628078800
1781832300000.0,3569414400
1781832315000.0,3450846400
1781832330000.0,3405182000
1781832345000.0,3614848000
1781832360000.0,3544952000
1781832375000.0,3349202800
1781832390000.0,3279287080
1781832405000.0,3395247200
1781832420000.0,3618177600
1781832435000.0,3288078960
1781832450000.0,3248211200
1781832465000.0,2794178160
1781832480000.0,3025411600
1781832495000.0,2795168160
1781832510000.0,2674614800
1781832525000.0,3022858640
1781832540000.0,3326564400
1781832555000.0,2883774800
1781832570000.0,3265916400
1781832585000.0,3024590640
1781832600000.0,3384582960
1781832615000.0,3677804800
1781832630000.0,3500510400
1781832645000.0,3139604400
1781832660000.0,3080216160
1781832675000.0,3041042240
1781832690000.0,3121152400
1781832705000.0,3368520400
1781832720000.0,3389306680
1781832735000.0,3144232960
1781832750000.0,2415043800
1781832765000.0,2751456000
1781832780000.0,2665812160
1781832795000.0,3027176640
1781832810000.0,3038703400
1781832825000.0,3030949200
1781832840000.0,2776784800
1781832855000.0,2452933000
1781832870000.0,2293738000
1781832885000.0,2625047360
1781832900000.0,2459249880
1781832915000.0,2694472920
1781832930000.0,2421762680
1781832945000.0,2544518400
1781832960000.0,2280003800
1781832975000.0,2419661000
1781832990000.0,2194584000
1781833005000.0,2104229480
1781833020000.0,2079366000
1781833035000.0,2205360800
1781833050000.0,1918831400
1781833065000.0,2053020400
1781833080000.0,2265149600
1781833095000.0,2007142400
1781833110000.0,2208231200
1781833125000.0,2249344400
1781833140000.0,2299088680
1781833155000.0,2188523320
1781833170000.0,2160056520
1781833185000.0,2161371760
1781833200000.0,1970960600
