time_index,card.nic.pps.avg.r
1781829600000.0,407750
1781829615000.0,426292
1781829630000.0,439329
1781829645000.0,421909
1781829660000.0,426760
1781829675000.0,425148
1781829690000.0,384950
1781829705000.0,391455
1781829720000.0,381658
1781829735000.0,405323
1781829750000.0,429418
1781829765000.0,456002
1781829780000.0,474716
1781829795000.0,468455
1781829810000.0,461850
1781829825000.0,438985
1781829840000.0,421990
1781829855000.0,414524
1781829870000.0,395971
1781829885000.0,444235
1781829900000.0,406335
1781829915000.0,438090
1781829930000.0,420599
1781829945000.0,438072
1781829960000.0,439994
1781829975000.0,434582
1781829990000.0,431939
1781830005000.0,444576
1781830020000.0,422492
1781830035000.0,419498
1781830050000.0,393208
1781830065000.0,405941
1781830080000.0,354666
1781830095000.0,374702
1781830110000.0,362332
1781830125000.0,413750
1781830140000.0,361094
1781830155000.0,341543
1781830170000.0,380040
1781830185000.0,401050
1781830200000.0,377131
1781830215000.0,410547
1781830230000.0,346338
1781830245000.0,310048
1781830260000.0,359138
1781830275000.0,300596
1781830290000.0,299082
1781830305000.0,328645
1781830320000.0,369565
1781830335000.0,415756
1781830350000.0,330824
1781830365000.0,364207
1781830380000.0,350955
1781830395000.0,345919
1781830410000.0,306202
1781830425000.0,284075
1781830440000.0,278037
1781830455000.0,296327
1781830470000.0,295609
1781830485000.0,310244
1781830500000.0,350938
1781830515000.0,343885
1781830530000.0,357111
1781830545000.0,342508
1781830560000.0,327329
1781830575000.0,321769
1781830590000.0,364586
1781830605000.0,343455
1781830620000.0,339303
1781830635000.0,311794
1781830650000.0,369580
1781830665000.0,380754
1781830680000.0,366378
1781830695000.0,353767
1781830710000.0,345396
1781830725000.0,365988
1781830740000.0,397080
1781830755000.0,361047
1781830770000.0,356522
1781830785000.0,384674
1781830800000.0,366627
1781830815000.0,325440
1781830830000.0,280826
1781830845000.0,330360
1781830860000.0,280245
1781830875000.0,286580
1781830890000.0,296102
1781830905000.0,293964
1781830920000.0,286076
1781830935000.0,271444
1781830950000.0,307859
1781830965000.0,309392
1781830980000.0,232303
1781830995000.0,230947
1781831010000.0,247957
1781831025000.0,280836
1781831040000.0,249348
1781831055000.0,272204
1781831070000.0,265607
1781831085000.0,301116
1781831100000.0,317939
1781831115000.0,312331
1781831130000.0,332484
1781831145000.0,328126
1781831160000.0,290749
1781831175000.0,286686
1781831190000.0,279826
1781831205000.0,264884
1781831220000.0,301490
1781831235000.0,296895
1781831250000.0,302352
1781831265000.0,358701
1781831280000.0,334460
1781831295000.0,263007
1781831310000.0,312453
1781831325000.0,300758
1781831340000.0,317424
1781831355000.0,337469
1781831370000.0,323856
1781831385000.0,326249
1781831400000.0,283745
1781831415000.0,262495
1781831430000.0,308393
1781831445000.0,348324
1781831460000.0,312776
1781831475000.0,250656
1781831490000.0,293151
1781831505000.0,310977
1781831520000.0,272410
1781831535000.0,288705
1781831550000.0,299921
1781831565000.0,285114
1781831580000.0,278038
1781831595000.0,375133
1781831610000.0,364013
1781831625000.0,287035
1781831640000.0,263264
1781831655000.0,261235
1781831670000.0,296997
1781831685000.0,310018
1781831700000.0,263858
1781831715000.0,250742
1781831730000.0,281385
1781831745000.0,313797
1781831760000.0,331555
1781831775000.0,347628
1781831790000.0,296433
1781831805000.0,273086
1781831820000.0,294105
1781831835000.0,326842
1781831850000.0,334789
1781831865000.0,267575
1781831880000.0,250680
1781831895000.0,267893
1781831910000.0,257959
1781831925000.0,222037
1781831940000.0,215489
1781831955000.0,238732
1781831970000.0,274364
1781831985000.0,317255
1781832000000.0,318168
1781832015000.0,322782
1781832030000.0,336228
1781832045000.0,295639
1781832060000.0,301304
1781832075000.0,302573
1781832090000.0,258220
1781832105000.0,256367
1781832120000.0,245777
1781832135000.0,222933
1781832150000.0,240835
1781832165000.0,251883
1781832180000.0,296590
1781832195000.0,286619
1781832210000.0,290229
1781832225000.0,252126
1781832240000.0,264819
1781832255000.0,265452
1781832270000.0,275750
1781832285000.0,272655
1781832300000.0,245892
1781832315000.0,254533
1781832330000.0,248529
1781832345000.0,285196
1781832360000.0,289506
1781832375000.0,256569
1781832390000.0,196748
1781832405000.0,189705
1781832420000.0,170164
1781832435000.0,180843
1781832450000.0,190750
1781832465000.0,220122
1781832480000.0,199636
1781832495000.0,212375
1781832510000.0,190486
1781832525000.0,212815
1781832540000.0,187314
1781832555000.0,180519
1781832570000.0,196485
1781832585000.0,185132
1781832600000.0,129850
1781832615000.0,166531
1781832630000.0,169560
1781832645000.0,170792
1781832660000.0,167414
1781832675000.0,160464
1781832690000.0,140573
1781832705000.0,160649
1781832720000.0,157868
1781832735000.0,179904
1781832750000.0,173235
1781832765000.0,190069
1781832780000.0,152196
1781832795000.0,166654
1781832810000.0,193439
1781832825000.0,194763
1781832840000.0,194804
1781832855000.0,185785
1781832870000.0,149741
1781832885000.0,149238
1781832900000.0,173342
1781832915000.0,170536
1781832930000.0,163408
1781832945000.0,196266
1781832960000.0,176151
1781832975000.0,175948
1781832990000.0,161239
1781833005000.0,206963
1781833020000.0,202281
1781833035000.0,202384
1781833050000.0,206694
1781833065000.0,199299
1781833080000.0,191249
