time_index,card.nic.bps.avg.r
1781829600000.0,6919969200
1781829615000.0,6114628400
1781829630000.0,6342800000
1781829645000.0,6930469600
1781829660000.0,6802751600
1781829675000.0,7424552800
1781829690000.0,7564091200
1781829705000.0,6996083600
1781829720000.0,6885294000
1781829735000.0,6602262400
1781829750000.0,6966408000
1781829765000.0,6668482800
1781829780000.0,7160950000
1781829795000.0,6943228000
1781829810000.0,6981568000
1781829825000.0,6481475200
1781829840000.0,6755158000
1781829855000.0,6411107600
1781829870000.0,7640074000
1781829885000.0,7347030400
1781829900000.0,6800039200
1781829915000.0,5861696800
1781829930000.0,6293366000
1781829945000.0,6558151200
1781829960000.0,6923509600
1781829975000.0,7245212800
1781829990000.0,6792104400
1781830005000.0,7038035600
1781830020000.0,6749556800
1781830035000.0,7094134400
1781830050000.0,6528982400
1781830065000.0,6846509600
1781830080000.0,6579709200
1781830095000.0,6884621600
1781830110000.0,6913828000
1781830125000.0,6306318800
1781830140000.0,7261012800
1781830155000.0,6724245600
1781830170000.0,6528524400
1781830185000.0,6032674000
1781830200000.0,5807303200
1781830215000.0,5273762400
1781830230000.0,5217341200
1781830245000.0,5778355600
1781830260000.0,5864205600
1781830275000.0,6699560000
1781830290000.0,5809531200
1781830305000.0,6016852400
1781830320000.0,5780576400
1781830335000.0,5944258400
1781830350000.0,5805646800
1781830365000.0,6352854800
1781830380000.0,5669281200
1781830395000.0,5100836000
1781830410000.0,5184836000
1781830425000.0,5056714400
1781830440000.0,5473279600
1781830455000.0,5091930000
1781830470000.0,4951428400
1781830485000.0,4600762400
1781830500000.0,5232240000
1781830515000.0,5101672800
1781830530000.0,5210981600
1781830545000.0,5786394000
1781830560000.0,5822988400
1781830575000.0,6279701200
1781830590000.0,5957738400
1781830605000.0,5719800000
1781830620000.0,5350102800
1781830635000.0,4895097600
1781830650000.0,4609777600
1781830665000.0,4959568800
1781830680000.0,6511971600
1781830695000.0,6372292000
1781830710000.0,6028657200
1781830725000.0,6197709200
1781830740000.0,5650262400
1781830755000.0,5610084000
1781830770000.0,5456638800
1781830785000.0,5377604000
1781830800000.0,5887998400
1781830815000.0,5555784000
1781830830000.0,6013896400
1781830845000.0,5925298000
1781830860000.0,5822623600
1781830875000.0,5897352800
1781830890000.0,6461557200
