time_index,card.nic.pps.avg.r
1781829600000.0,447015
1781829615000.0,461118
1781829630000.0,447322
1781829645000.0,422492
1781829660000.0,441319
1781829675000.0,430837
1781829690000.0,454714
1781829705000.0,472020
1781829720000.0,479464
1781829735000.0,483420
1781829750000.0,434381
1781829765000.0,473883
1781829780000.0,488460
1781829795000.0,467563
1781829810000.0,478764
1781829825000.0,445288
1781829840000.0,458497
1781829855000.0,430750
1781829870000.0,396190
1781829885000.0,395436
1781829900000.0,367268
1781829915000.0,365717
1781829930000.0,374253
1781829945000.0,372340
1781829960000.0,367493
1781829975000.0,403822
1781829990000.0,359559
1781830005000.0,373662
1781830020000.0,409629
1781830035000.0,426469
1781830050000.0,429419
1781830065000.0,441327
1781830080000.0,433547
1781830095000.0,432658
1781830110000.0,445916
1781830125000.0,387291
1781830140000.0,377551
1781830155000.0,383762
1781830170000.0,402891
1781830185000.0,398118
1781830200000.0,412654
1781830215000.0,392082
1781830230000.0,388281
1781830245000.0,378933
1781830260000.0,375510
1781830275000.0,352488
1781830290000.0,370706
1781830305000.0,358745
1781830320000.0,308485
1781830335000.0,320872
1781830350000.0,356703
1781830365000.0,382232
1781830380000.0,397733
1781830395000.0,422641
1781830410000.0,425258
1781830425000.0,416775
1781830440000.0,445751
1781830455000.0,413556
1781830470000.0,356107
1781830485000.0,334966
1781830500000.0,353946
1781830515000.0,403474
1781830530000.0,366214
1781830545000.0,328612
1781830560000.0,356208
1781830575000.0,365678
1781830590000.0,368116
1781830605000.0,401026
1781830620000.0,397702
1781830635000.0,418908
1781830650000.0,404918
1781830665000.0,436580
1781830680000.0,389757
1781830695000.0,375604
1781830710000.0,380863
1781830725000.0,372292
1781830740000.0,349990
1781830755000.0,371932
1781830770000.0,367957
1781830785000.0,381159
1781830800000.0,322419
1781830815000.0,342586
1781830830000.0,374188
1781830845000.0,319778
1781830860000.0,369492
1781830875000.0,387604
1781830890000.0,358947
1781830905000.0,429728
1781830920000.0,426485
1781830935000.0,381158
1781830950000.0,349595
1781830965000.0,369695
1781830980000.0,401598
1781830995000.0,405856
1781831010000.0,388384
1781831025000.0,399056
1781831040000.0,409388
1781831055000.0,399835
1781831070000.0,412254
1781831085000.0,424164
1781831100000.0,396880
1781831115000.0,413666
1781831130000.0,410203
1781831145000.0,376372
1781831160000.0,360310
1781831175000.0,353480
1781831190000.0,359461
1781831205000.0,409754
1781831220000.0,390402
1781831235000.0,377714
1781831250000.0,366660
1781831265000.0,402039
1781831280000.0,389902
1781831295000.0,363761
1781831310000.0,387352
1781831325000.0,395914
1781831340000.0,397464
1781831355000.0,353193
1781831370000.0,329476
1781831385000.0,296850
1781831400000.0,329820
1781831415000.0,401416
1781831430000.0,380226
1781831445000.0,333499
1781831460000.0,334313
1781831475000.0,334267
1781831490000.0,315203
1781831505000.0,303983
1781831520000.0,298109
1781831535000.0,312542
1781831550000.0,325444
1781831565000.0,376024
1781831580000.0,342760
1781831595000.0,333878
1781831610000.0,336687
1781831625000.0,352440
1781831640000.0,317902
1781831655000.0,361513
1781831670000.0,385251
1781831685000.0,337449
1781831700000.0,359202
1781831715000.0,326882
1781831730000.0,302239
1781831745000.0,277366
1781831760000.0,326768
1781831775000.0,344500
1781831790000.0,320060
1781831805000.0,310308
1781831820000.0,336016
1781831835000.0,326305
1781831850000.0,324635
1781831865000.0,303054
1781831880000.0,303496
1781831895000.0,327985
1781831910000.0,351110
1781831925000.0,353347
1781831940000.0,358532
1781831955000.0,316103
1781831970000.0,299149
1781831985000.0,315382
1781832000000.0,306241
1781832015000.0,318658
1781832030000.0,354262
1781832045000.0,340967
1781832060000.0,315695
1781832075000.0,283608
1781832090000.0,309455
1781832105000.0,289319
1781832120000.0,250666
1781832135000.0,267665
1781832150000.0,251475
1781832165000.0,259429
1781832180000.0,244554
1781832195000.0,241721
1781832210000.0,215254
1781832225000.0,219617
1781832240000.0,254208
1781832255000.0,274209
1781832270000.0,301123
1781832285000.0,276145
1781832300000.0,300794
1781832315000.0,292040
1781832330000.0,266490
1781832345000.0,268184
1781832360000.0,238684
1781832375000.0,216295
1781832390000.0,246054
1781832405000.0,261603
1781832420000.0,278411
1781832435000.0,287121
1781832450000.0,271037
1781832465000.0,244122
1781832480000.0,236370
1781832495000.0,240796
1781832510000.0,242686
1781832525000.0,215648
1781832540000.0,226230
1781832555000.0,233360
1781832570000.0,201085
1781832585000.0,228213
1781832600000.0,238824
1781832615000.0,206290
1781832630000.0,196763
1781832645000.0,216351
1781832660000.0,208308
1781832675000.0,213821
1781832690000.0,215770
1781832705000.0,226098
1781832720000.0,208937
1781832735000.0,182674
1781832750000.0,201510
1781832765000.0,185482
1781832780000.0,183453
1781832795000.0,214381
1781832810000.0,219705
1781832825000.0,184317
1781832840000.0,170631
1781832855000.0,169752
1781832870000.0,185712
1781832885000.0,205632
1781832900000.0,208801
1781832915000.0,248730
1781832930000.0,211888
1781832945000.0,237932
1781832960000.0,230420
