time_index,card.nic.bps.avg.r
1781829600000.0,414911464
1781829615000.0,470817600
1781829630000.0,136269208
1781829645000.0,3077880400
1781829660000.0,3219113760
1781829675000.0,2046557800
1781829690000.0,1406743640
1781829705000.0,489879920
1781829720000.0,530966400
1781829735000.0,438898240
1781829750000.0,453866600
1781829765000.0,1925996120
1781829780000.0,355523120
1781829795000.0,514589840
1781829810000.0,550738320
1781829825000.0,460100800
1781829840000.0,867704400
1781829855000.0,1434855720
1781829870000.0,652252800
1781829885000.0,2066305040
1781829900000.0,1417305280
1781829915000.0,2064372800
1781829930000.0,400600320
1781829945000.0,324510440
1781829960000.0,467887920
1781829975000.0,513267960
1781829990000.0,600112880
1781830005000.0,86167680
1781830020000.0,2856667600
1781830035000.0,1673371360
1781830050000.0,2100418800
1781830065000.0,1411610320
1781830080000.0,516649720
1781830095000.0,463028280
1781830110000.0,450684680
1781830125000.0,408237520
1781830140000.0,493937600
1781830155000.0,917461720
1781830170000.0,1878045600
1781830185000.0,2264150000
1781830200000.0,1746259600
1781830215000.0,1803940240
1781830230000.0,360435660
1781830245000.0,533689720
1781830260000.0,558358360
1781830275000.0,575166720
1781830290000.0,576318240
1781830305000.0,1046525600
1781830320000.0,3327825600
1781830335000.0,1069249440
1781830350000.0,1844881600
1781830365000.0,1829082800
1781830380000.0,569627840
1781830395000.0,600238480
1781830410000.0,560756600
1781830425000.0,533562800
1781830440000.0,527292000
1781830455000.0,495122640
1781830470000.0,1797691400
1781830485000.0,2222797600
1781830500000.0,1703272240
1781830515000.0,2173537080
1781830530000.0,574144880
1781830545000.0,513982160
1781830560000.0,547652080
1781830575000.0,438181320
1781830590000.0,1320115400
1781830605000.0,1666158400
1781830620000.0,1029227120
1781830635000.0,535870200
1781830650000.0,481631640
1781830665000.0,649680800
1781830680000.0,1133194120
1781830695000.0,1204585680
1781830710000.0,603808240
1781830725000.0,526501600
1781830740000.0,1369080000
1781830755000.0,485077760
1781830770000.0,1039700600
1781830785000.0,1433978480
1781830800000.0,3220729040
1781830815000.0,2093157200
1781830830000.0,569478520
1781830845000.0,571577760
1781830860000.0,665462800
1781830875000.0,1981147760
1781830890000.0,691246600
1781830905000.0,347705960
1781830920000.0,476719920
1781830935000.0,486446840
1781830950000.0,1606507720
1781830965000.0,450812400
1781830980000.0,878686320
1781830995000.0,331738280
1781831010000.0,599041960
1781831025000.0,2909689040
1781831040000.0,3244430120
1781831055000.0,2261965400
1781831070000.0,2101822400
1781831085000.0,458451040
1781831100000.0,546394840
1781831115000.0,579022600
1781831130000.0,576452400
1781831145000.0,906361560
1781831160000.0,2081945000
1781831175000.0,410931360
1781831190000.0,276731496
1781831205000.0,410333400
1781831220000.0,484331600
1781831235000.0,421330740
1781831250000.0,830759880
1781831265000.0,450986240
1781831280000.0,644086240
1781831295000.0,2458736000
1781831310000.0,1505112480
1781831325000.0,2067832200
1781831340000.0,1716435760
1781831355000.0,600303520
1781831370000.0,571571160
1781831385000.0,539400960
1781831400000.0,522342920
1781831415000.0,503330720
1781831430000.0,473050160
1781831445000.0,1959591600
1781831460000.0,1379496560
1781831475000.0,2106468560
1781831490000.0,357863640
1781831505000.0,339534696
1781831520000.0,455360560
1781831535000.0,567690960
1781831550000.0,409782520
1781831565000.0,700527240
1781831580000.0,1242688600
1781831595000.0,1109424120
1781831610000.0,629433760
1781831625000.0,55078676
1781831640000.0,1445749880
1781831655000.0,2335441200
1781831670000.0,511453480
1781831685000.0,545456320
1781831700000.0,768124520
1781831715000.0,1401454480
1781831730000.0,1761452640
1781831745000.0,613637200
1781831760000.0,581876240
1781831775000.0,585352600
1781831790000.0,1527657680
1781831805000.0,1505103600
1781831820000.0,411124584
1781831835000.0,519090640
1781831850000.0,333322856
1781831865000.0,1463585080
1781831880000.0,1561554520
1781831895000.0,922985600
1781831910000.0,529092720
1781831925000.0,446642480
1781831940000.0,204035880
1781831955000.0,2073341760
1781831970000.0,1523596480
1781831985000.0,2197332800
1781832000000.0,542412640
1781832015000.0,551449400
1781832030000.0,537764720
1781832045000.0,1186988320
1781832060000.0,405553520
1781832075000.0,459505920
1781832090000.0,950492160
1781832105000.0,432528840
1781832120000.0,2042700800
1781832135000.0,1991427200
1781832150000.0,303853360
1781832165000.0,296417760
1781832180000.0,338508544
1781832195000.0,394104780
1781832210000.0,1084946640
1781832225000.0,577429440
1781832240000.0,468476720
1781832255000.0,857416240
1781832270000.0,411031200
1781832285000.0,1514688720
1781832300000.0,2109721400
1781832315000.0,562196840
1781832330000.0,632661800
1781832345000.0,989467440
1781832360000.0,326706120
1781832375000.0,313455256
1781832390000.0,609422440
1781832405000.0,193549600
1781832420000.0,410281720
1781832435000.0,962796840
1781832450000.0,1746158600
1781832465000.0,403422920
1781832480000.0,1647260480
1781832495000.0,389172760
1781832510000.0,464576000
1781832525000.0,528824840
1781832540000.0,625319200
1781832555000.0,197509880
1781832570000.0,670503680
1781832585000.0,437563480
1781832600000.0,1401386000
1781832615000.0,517332400
1781832630000.0,412782056
1781832645000.0,53750952
1781832660000.0,1365041
1781832675000.0,367902388
1781832690000.0,98629912
1781832705000.0,279912936
1781832720000.0,740119840
1781832735000.0,1261875200
1781832750000.0,228435532
1781832765000.0,342018240
1781832780000.0,2483001
1781832795000.0,368796640
1781832810000.0,325356040
1781832825000.0,1085625
1781832840000.0,211677680
1781832855000.0,1246337840
1781832870000.0,1278588720
1781832885000.0,584872600
1781832900000.0,152481100
1781832915000.0,1102596
1781832930000.0,347127960
1781832945000.0,353900840
1781832960000.0,111579008
1781832975000.0,1155792
1781832990000.0,168194700
1781833005000.0,798986480
1781833020000.0,338588720
1781833035000.0,2118315
1781833050000.0,399267864
1781833065000.0,195644264
1781833080000.0,137973544
1781833095000.0,420396840
1781833110000.0,124313140
1781833125000.0,1087151
1781833140000.0,77400872
1781833155000.0,1109888520
1781833170000.0,772817920
1781833185000.0,163067660
1781833200000.0,158874264
1781833215000.0,146737088
1781833230000.0,457561040
1781833245000.0,131899508
1781833260000.0,1081623
1781833275000.0,1162556
1781833290000.0,58227328
1781833305000.0,980529040
1781833320000.0,657736800
1781833335000.0,19486866
1781833350000.0,161739360
1781833365000.0,179695272
1781833380000.0,439715880
1781833395000.0,123358632
1781833410000.0,1109165
1781833425000.0,1076370
1781833440000.0,43154028
1781833455000.0,927330520
1781833470000.0,251269016
1781833485000.0,22138656
1781833500000.0,139428200
1781833515000.0,252823576
1781833530000.0,652829680
1781833545000.0,1311342
1781833560000.0,1095559
1781833575000.0,1147156
1781833590000.0,44130356
1781833605000.0,819342040
1781833620000.0,238616576
1781833635000.0,18678347
1781833650000.0,169635468
1781833665000.0,357122584
1781833680000.0,139642680
1781833695000.0,1153433
1781833710000.0,1095802
1781833725000.0,1084885
1781833740000.0,29685072
1781833755000.0,733903880
1781833770000.0,247523880
1781833785000.0,5261318
1781833800000.0,90970496
1781833815000.0,268303680
1781833830000.0,515309360
1781833845000.0,1070658
1781833860000.0,1143808
1781833875000.0,1101501
1781833890000.0,1089632
1781833905000.0,553865360
1781833920000.0,31129268
1781833935000.0,344533440
1781833950000.0,84038560
1781833965000.0,53182380
1781833980000.0,264911896
1781833995000.0,442905640
1781834010000.0,1078137
1781834025000.0,3012765
1781834040000.0,663469680
1781834055000.0,202887668
1781834070000.0,1566430
1781834085000.0,110563096
1781834100000.0,226634800
1781834115000.0,342872120
1781834130000.0,339018960
1781834145000.0,1115273
1781834160000.0,1200572
1781834175000.0,1084564
1781834190000.0,575661160
1781834205000.0,191743640
1781834220000.0,15650624
1781834235000.0,220235920
1781834250000.0,215628904
1781834265000.0,313908960
1781834280000.0,70868744
1781834295000.0,1088691
1781834310000.0,1067708
1781834325000.0,1212860
1781834340000.0,570913840
1781834355000.0,183295500
1781834370000.0,20641132
1781834385000.0,129947212
1781834400000.0,295262720
1781834415000.0,296639240
1781834430000.0,69910624
1781834445000.0,1120987
1781834460000.0,1142267
1781834475000.0,1072457
1781834490000.0,528887400
1781834505000.0,44730308
1781834520000.0,320461560
1781834535000.0,288056080
1781834550000.0,251355600
1781834565000.0,36028840
1781834580000.0,1069519
1781834595000.0,1107378
1781834610000.0,1125440
1781834625000.0,465704280
1781834640000.0,148368500
1781834655000.0,162382440
1781834670000.0,147418420
1781834685000.0,302311296
1781834700000.0,96746328
1781834715000.0,37454068
1781834730000.0,1191186
1781834745000.0,1093010
1781834760000.0,1092497
1781834775000.0,74873100
1781834790000.0,199183412
1781834805000.0,63881496
1781834820000.0,122134144
1781834835000.0,55615768
1781834850000.0,12120080
1781834865000.0,1280304
1781834880000.0,1185598
1781834895000.0,1105482
1781834910000.0,700097320
1781834925000.0,498577960
1781834940000.0,20794568
1781834955000.0,304570640
1781834970000.0,109701952
1781834985000.0,251683120
1781835000000.0,406067120
1781835015000.0,10261736
1781835030000.0,5692518
1781835045000.0,1181552
1781835060000.0,424255840
1781835075000.0,110367872
1781835090000.0,29204860
1781835105000.0,180810792
1781835120000.0,274147456
1781835135000.0,218252560
1781835150000.0,103558120
1781835165000.0,11948938
1781835180000.0,1198179
1781835195000.0,1081879
1781835210000.0,410058720
1781835225000.0,129304536
1781835240000.0,28640042
1781835255000.0,216890600
1781835270000.0,282782240
1781835285000.0,276727424
1781835300000.0,25773256
1781835315000.0,1134813
1781835330000.0,1084956
1781835345000.0,1166676
1781835360000.0,574909840
1781835375000.0,148996840
1781835390000.0,1290152
1781835405000.0,16290246
1781835420000.0,36153704
1781835435000.0,1194270
1781835450000.0,1082094
1781835465000.0,1153872
1781835480000.0,1121221
1781835495000.0,1083816
1781835510000.0,527276560
1781835525000.0,152792664
1781835540000.0,75191600
1781835555000.0,145850040
1781835570000.0,265894920
1781835585000.0,164798056
1781835600000.0,23495262
1781835615000.0,1091325
1781835630000.0,1127898
1781835645000.0,1135294
1781835660000.0,260384180
1781835675000.0,63813580
1781835690000.0,207759784
1781835705000.0,168546640
1781835720000.0,164948080
1781835735000.0,155395000
1781835750000.0,117649160
1781835765000.0,14377234
1781835780000.0,1276024
1781835795000.0,1128332
1781835810000.0,1143713
1781835825000.0,1069606
1781835840000.0,1128947
1781835855000.0,1121969
1781835870000.0,1087218
1781835885000.0,1209112
1781835900000.0,1096906
1781835915000.0,1099814
1781835930000.0,1189884
1781835945000.0,1078920
1781835960000.0,1110050
1781835975000.0,1142512
1781835990000.0,1060867
1781836005000.0,1176502
1781836020000.0,1097859
1781836035000.0,1096563
1781836050000.0,1205864
1781836065000.0,1091669
1781836080000.0,1084911
1781836095000.0,1186430
1781836110000.0,296894760
1781836125000.0,77651352
1781836140000.0,1180902
1781836155000.0,1101517
1781836170000.0,7867189
1781836185000.0,1159322
1781836200000.0,1081978
1781836215000.0,1163279
1781836230000.0,1112574
1781836245000.0,1071512
1781836260000.0,1545299760
1781836275000.0,1343200680
1781836290000.0,243606840
