time_index,card.nic.pps.avg.r
1781829600000.0,392078
1781829615000.0,393094
1781829630000.0,361476
1781829645000.0,357799
1781829660000.0,408762
1781829675000.0,437448
1781829690000.0,440914
1781829705000.0,404695
1781829720000.0,402477
1781829735000.0,388024
1781829750000.0,388849
1781829765000.0,369157
1781829780000.0,328413
1781829795000.0,329855
1781829810000.0,354754
1781829825000.0,362556
1781829840000.0,369236
1781829855000.0,354144
1781829870000.0,368628
1781829885000.0,355797
1781829900000.0,399184
1781829915000.0,395397
1781829930000.0,331271
1781829945000.0,362280
1781829960000.0,363947
1781829975000.0,342091
1781829990000.0,348589
1781830005000.0,339626
1781830020000.0,351220
1781830035000.0,311500
1781830050000.0,317576
1781830065000.0,353124
1781830080000.0,302788
1781830095000.0,344289
1781830110000.0,343810
1781830125000.0,376754
1781830140000.0,367393
1781830155000.0,364691
1781830170000.0,391908
1781830185000.0,349308
1781830200000.0,364410
1781830215000.0,410414
1781830230000.0,407706
1781830245000.0,394015
1781830260000.0,424964
1781830275000.0,379172
1781830290000.0,382558
1781830305000.0,328194
1781830320000.0,336445
1781830335000.0,358724
1781830350000.0,315517
1781830365000.0,312471
1781830380000.0,314051
1781830395000.0,328159
1781830410000.0,331432
1781830425000.0,326320
1781830440000.0,337396
1781830455000.0,370545
1781830470000.0,334190
1781830485000.0,343968
1781830500000.0,351090
1781830515000.0,321315
1781830530000.0,282070
1781830545000.0,310428
1781830560000.0,335988
1781830575000.0,353330
1781830590000.0,332408
1781830605000.0,299090
1781830620000.0,368723
1781830635000.0,331208
1781830650000.0,393559
1781830665000.0,337368
1781830680000.0,330423
1781830695000.0,385689
1781830710000.0,309820
1781830725000.0,319217
1781830740000.0,345424
1781830755000.0,355939
1781830770000.0,352606
1781830785000.0,324902
1781830800000.0,299866
1781830815000.0,306134
1781830830000.0,364965
1781830845000.0,367457
1781830860000.0,353874
1781830875000.0,397772
1781830890000.0,388145
1781830905000.0,361380
1781830920000.0,316196
1781830935000.0,342304
1781830950000.0,365576
1781830965000.0,329274
1781830980000.0,314966
1781830995000.0,284623
1781831010000.0,310774
1781831025000.0,271427
1781831040000.0,301997
1781831055000.0,272628
1781831070000.0,318908
1781831085000.0,270322
1781831100000.0,308218
1781831115000.0,391647
1781831130000.0,370349
1781831145000.0,378782
