time_index,card.nic.bps.avg.t
1781829600000.0,2407018800
1781829615000.0,3160921200
1781829630000.0,3253450800
1781829645000.0,2997014920
1781829660000.0,4040123200
1781829675000.0,3589214800
1781829690000.0,3357406800
1781829705000.0,3595561200
1781829720000.0,3729660000
1781829735000.0,3411162800
1781829750000.0,3628616000
1781829765000.0,3683822400
1781829780000.0,3849944800
1781829795000.0,3732692000
1781829810000.0,3113167600
1781829825000.0,3478073200
1781829840000.0,4049797200
1781829855000.0,4092521600
1781829870000.0,4105401200
1781829885000.0,3623614000
1781829900000.0,3835799200
1781829915000.0,3472757600
1781829930000.0,3286076400
1781829945000.0,3364107880
1781829960000.0,3520610000
1781829975000.0,3166278800
1781829990000.0,3362585800
1781830005000.0,2763286120
1781830020000.0,3208046600
1781830035000.0,3041891200
1781830050000.0,3211592400
1781830065000.0,2961300400
1781830080000.0,4214143200
1781830095000.0,2650641800
1781830110000.0,2946496400
1781830125000.0,3290055880
1781830140000.0,2924344120
1781830155000.0,3499898400
1781830170000.0,3088167720
1781830185000.0,3487670000
1781830200000.0,3458041200
1781830215000.0,3881166400
1781830230000.0,3358558600
1781830245000.0,3353536000
1781830260000.0,2975032920
1781830275000.0,3750803200
1781830290000.0,3441243600
1781830305000.0,3062144600
1781830320000.0,2937532400
1781830335000.0,3161430240
1781830350000.0,3270309880
1781830365000.0,3260898920
1781830380000.0,3901069600
1781830395000.0,3723223200
1781830410000.0,3198242000
1781830425000.0,3034475320
1781830440000.0,3196777600
1781830455000.0,3292562000
1781830470000.0,2822411040
1781830485000.0,3592168400
1781830500000.0,2788947600
1781830515000.0,3195264000
1781830530000.0,3350439200
1781830545000.0,4005757200
1781830560000.0,3392620960
1781830575000.0,3349789600
1781830590000.0,3033571320
1781830605000.0,3337208200
1781830620000.0,3229970240
1781830635000.0,2688565880
1781830650000.0,2778161760
1781830665000.0,3444693600
1781830680000.0,3370236400
1781830695000.0,2917267880
1781830710000.0,3472474000
1781830725000.0,3153558400
1781830740000.0,3097650000
1781830755000.0,3681256000
1781830770000.0,3099572000
1781830785000.0,2719317600
1781830800000.0,2543174800
1781830815000.0,3172734400
1781830830000.0,3102817600
1781830845000.0,2888442400
1781830860000.0,2980458400
1781830875000.0,3179398400
1781830890000.0,3629480800
1781830905000.0,3409720920
1781830920000.0,3651773600
1781830935000.0,3546221600
1781830950000.0,3179255000
1781830965000.0,3308306240
1781830980000.0,3354753040
1781830995000.0,3226389080
1781831010000.0,3171388400
1781831025000.0,3237020800
1781831040000.0,2998774800
1781831055000.0,2974591800
1781831070000.0,3351161600
1781831085000.0,2878946920
1781831100000.0,2812538800
1781831115000.0,2739985600
1781831130000.0,2271211720
1781831145000.0,2848970800
