time_index,card.nic.pps.avg.r
1781829600000.0,105944
1781829615000.0,48257
1781829630000.0,40798
1781829645000.0,147900
1781829660000.0,259703
1781829675000.0,184304
1781829690000.0,175026
1781829705000.0,41561
1781829720000.0,40358
1781829735000.0,45564
1781829750000.0,53183
1781829765000.0,87621
1781829780000.0,126456
1781829795000.0,51696
1781829810000.0,48850
1781829825000.0,38543
1781829840000.0,16662
1781829855000.0,81983
1781829870000.0,143153
1781829885000.0,80516
1781829900000.0,189128
1781829915000.0,163364
1781829930000.0,134580
1781829945000.0,52184
1781829960000.0,51737
1781829975000.0,48045
1781829990000.0,45890
1781830005000.0,42656
1781830020000.0,94515
1781830035000.0,222244
1781830050000.0,163842
1781830065000.0,174660
1781830080000.0,44848
1781830095000.0,46261
1781830110000.0,49023
1781830125000.0,49004
1781830140000.0,50316
1781830155000.0,35560
1781830170000.0,27108
1781830185000.0,257116
1781830200000.0,113058
1781830215000.0,167734
1781830230000.0,76198
1781830245000.0,42100
1781830260000.0,34101
1781830275000.0,31575
1781830290000.0,31702
1781830305000.0,34778
1781830320000.0,231041
1781830335000.0,105602
1781830350000.0,85459
1781830365000.0,172729
1781830380000.0,36010
1781830395000.0,24287
1781830410000.0,29105
1781830425000.0,33693
1781830440000.0,40087
1781830455000.0,38690
1781830470000.0,66501
1781830485000.0,182692
1781830500000.0,103810
1781830515000.0,170401
1781830530000.0,49938
1781830545000.0,23908
1781830560000.0,35761
1781830575000.0,44318
1781830590000.0,47311
1781830605000.0,145395
1781830620000.0,154455
1781830635000.0,39256
1781830650000.0,55910
1781830665000.0,58479
1781830680000.0,22714
1781830695000.0,120818
1781830710000.0,150217
1781830725000.0,63696
1781830740000.0,78835
1781830755000.0,62223
1781830770000.0,31945
1781830785000.0,164810
1781830800000.0,207171
1781830815000.0,181362
1781830830000.0,109998
1781830845000.0,43726
1781830860000.0,38915
1781830875000.0,115021
1781830890000.0,181897
1781830905000.0,47896
1781830920000.0,48339
1781830935000.0,44263
1781830950000.0,50534
1781830965000.0,93791
1781830980000.0,48890
1781830995000.0,21063
1781831010000.0,70141
1781831025000.0,119027
1781831040000.0,257084
1781831055000.0,241754
1781831070000.0,171828
1781831085000.0,104348
1781831100000.0,40794
1781831115000.0,38755
1781831130000.0,39509
1781831145000.0,35173
1781831160000.0,158340
1781831175000.0,134002
1781831190000.0,52325
1781831205000.0,47710
1781831220000.0,42976
1781831235000.0,41264
1781831250000.0,55938
1781831265000.0,25932
1781831280000.0,38485
1781831295000.0,87951
1781831310000.0,264207
1781831325000.0,155224
1781831340000.0,170176
1781831355000.0,31828
1781831370000.0,24752
1781831385000.0,36708
1781831400000.0,44020
1781831415000.0,47214
1781831430000.0,46111
1781831445000.0,62242
1781831460000.0,251959
1781831475000.0,157331
1781831490000.0,134691
1781831505000.0,49052
1781831520000.0,47675
1781831535000.0,42810
1781831550000.0,39911
1781831565000.0,64704
1781831580000.0,94055
1781831595000.0,111388
1781831610000.0,24942
1781831625000.0,28985
1781831640000.0,162834
1781831655000.0,146677
1781831670000.0,90782
1781831685000.0,41592
1781831700000.0,41189
1781831715000.0,149356
1781831730000.0,161054
1781831745000.0,31863
1781831760000.0,32444
1781831775000.0,41614
1781831790000.0,56489
1781831805000.0,111338
1781831820000.0,82052
1781831835000.0,50326
1781831850000.0,52863
1781831865000.0,109552
1781831880000.0,128748
1781831895000.0,130529
1781831910000.0,39124
1781831925000.0,47859
1781831940000.0,46543
1781831955000.0,1492
1781831970000.0,145480
1781831985000.0,168193
1781832000000.0,50202
1781832015000.0,28887
1781832030000.0,34712
1781832045000.0,66274
1781832060000.0,137411
1781832075000.0,65374
1781832090000.0,57226
1781832105000.0,102462
1781832120000.0,13753
1781832135000.0,198359
1781832150000.0,129214
1781832165000.0,112146
1781832180000.0,51074
1781832195000.0,53921
1781832210000.0,51110
1781832225000.0,8276
1781832240000.0,57438
1781832255000.0,52174
1781832270000.0,48208
1781832285000.0,22881
1781832300000.0,93893
1781832315000.0,111890
1781832330000.0,101744
1781832345000.0,39578
1781832360000.0,54709
1781832375000.0,115074
1781832390000.0,48853
1781832405000.0,59374
1781832420000.0,64320
1781832435000.0,1684
1781832450000.0,43725
1781832465000.0,191734
1781832480000.0,91326
1781832495000.0,127993
1781832510000.0,52956
1781832525000.0,40852
1781832540000.0,40030
1781832555000.0,12593
1781832570000.0,68724
1781832585000.0,1786
1781832600000.0,43958
1781832615000.0,160075
1781832630000.0,110734
1781832645000.0,31318
1781832660000.0,16191
1781832675000.0,699
1781832690000.0,40896
1781832705000.0,13520
1781832720000.0,36165
1781832735000.0,592
1781832750000.0,33630
1781832765000.0,119002
1781832780000.0,82600
1781832795000.0,48401
1781832810000.0,4772
1781832825000.0,575
1781832840000.0,48020
1781832855000.0,40369
1781832870000.0,4885
1781832885000.0,607
1781832900000.0,27794
1781832915000.0,87222
1781832930000.0,64296
1781832945000.0,22572
1781832960000.0,4380
1781832975000.0,22615
1781832990000.0,18980
1781833005000.0,32779
1781833020000.0,586
1781833035000.0,590
1781833050000.0,17118
1781833065000.0,39418
1781833080000.0,9156
1781833095000.0,61740
1781833110000.0,54418
1781833125000.0,1104
1781833140000.0,19212
1781833155000.0,44066
1781833170000.0,592
1781833185000.0,588
1781833200000.0,11862
1781833215000.0,55578
1781833230000.0,24688
1781833245000.0,3846
1781833260000.0,14471
1781833275000.0,12262
1781833290000.0,44082
1781833305000.0,833
1781833320000.0,586
1781833335000.0,577
1781833350000.0,7046
1781833365000.0,98705
1781833380000.0,17114
1781833395000.0,1132
1781833410000.0,17343
1781833425000.0,12125
1781833440000.0,46001
1781833455000.0,673
1781833470000.0,582
1781833485000.0,588
1781833500000.0,56921
1781833515000.0,69676
1781833530000.0,9811
1781833545000.0,9458
1781833560000.0,15924
1781833575000.0,38875
1781833590000.0,10641
1781833605000.0,586
1781833620000.0,580
1781833635000.0,577
1781833650000.0,38758
1781833665000.0,68367
1781833680000.0,9825
1781833695000.0,8192
1781833710000.0,29714
1781833725000.0,57438
1781833740000.0,821
1781833755000.0,584
1781833770000.0,571
1781833785000.0,578
1781833800000.0,39524
1781833815000.0,63090
1781833830000.0,5366
1781833845000.0,8823
1781833860000.0,29194
1781833875000.0,33014
1781833890000.0,10443
1781833905000.0,578
1781833920000.0,578
1781833935000.0,578
1781833950000.0,25280
1781833965000.0,20605
1781833980000.0,698
1781833995000.0,6710
1781834010000.0,34421
1781834025000.0,31891
1781834040000.0,9008
1781834055000.0,572
1781834070000.0,611
1781834085000.0,57467
1781834100000.0,3430
1781834115000.0,4616
1781834130000.0,10668
1781834145000.0,23324
1781834160000.0,26260
1781834175000.0,4822
1781834190000.0,578
1781834205000.0,571
1781834220000.0,577
1781834235000.0,56607
1781834250000.0,17310
1781834265000.0,24274
1781834280000.0,29154
1781834295000.0,619
1781834310000.0,573
1781834325000.0,572
1781834340000.0,578
1781834355000.0,48617
1781834370000.0,2916
1781834385000.0,4463
1781834400000.0,29227
1781834415000.0,22809
1781834430000.0,698
1781834445000.0,574
1781834460000.0,572
1781834475000.0,581
1781834490000.0,45658
1781834505000.0,1971
1781834520000.0,4554
1781834535000.0,32255
1781834550000.0,15728
1781834565000.0,576
1781834580000.0,571
1781834595000.0,578
1781834610000.0,585
1781834625000.0,42082
1781834640000.0,2670
1781834655000.0,10754
1781834670000.0,14270
1781834685000.0,39258
1781834700000.0,8187
1781834715000.0,602
1781834730000.0,579
1781834745000.0,579
1781834760000.0,582
1781834775000.0,2830
1781834790000.0,22693
1781834805000.0,2388
1781834820000.0,11939
1781834835000.0,15242
1781834850000.0,3941
1781834865000.0,572
1781834880000.0,577
1781834895000.0,576
1781834910000.0,584
1781834925000.0,63594
1781834940000.0,9619
1781834955000.0,21108
1781834970000.0,6536
1781834985000.0,18287
1781835000000.0,24440
1781835015000.0,6469
1781835030000.0,6481
1781835045000.0,582
