time_index,card.nic.pps.avg.r
1781829600000.0,495172
1781829615000.0,432796
1781829630000.0,430750
1781829645000.0,441505
1781829660000.0,448405
1781829675000.0,431825
1781829690000.0,414194
1781829705000.0,392304
1781829720000.0,430941
1781829735000.0,445421
1781829750000.0,442048
1781829765000.0,452415
1781829780000.0,422681
1781829795000.0,456932
1781829810000.0,432502
1781829825000.0,472145
1781829840000.0,451620
1781829855000.0,425439
1781829870000.0,478930
1781829885000.0,502706
1781829900000.0,499848
1781829915000.0,491845
1781829930000.0,504848
1781829945000.0,446688
1781829960000.0,477692
1781829975000.0,443510
1781829990000.0,463787
1781830005000.0,437660
1781830020000.0,419491
1781830035000.0,385195
1781830050000.0,428192
1781830065000.0,372716
1781830080000.0,435195
1781830095000.0,457159
1781830110000.0,458447
1781830125000.0,433706
1781830140000.0,454465
1781830155000.0,439281
1781830170000.0,418691
1781830185000.0,370308
1781830200000.0,418725
1781830215000.0,404752
1781830230000.0,381162
1781830245000.0,399104
1781830260000.0,389944
1781830275000.0,373080
1781830290000.0,421156
1781830305000.0,428663
1781830320000.0,431852
1781830335000.0,446788
1781830350000.0,466756
1781830365000.0,454189
1781830380000.0,507334
1781830395000.0,474674
1781830410000.0,427508
1781830425000.0,425012
1781830440000.0,421826
1781830455000.0,400515
1781830470000.0,389159
1781830485000.0,354349
1781830500000.0,348456
1781830515000.0,433316
1781830530000.0,379506
1781830545000.0,367173
1781830560000.0,369426
1781830575000.0,385896
1781830590000.0,384068
1781830605000.0,400741
1781830620000.0,368535
1781830635000.0,425206
1781830650000.0,395195
1781830665000.0,414514
1781830680000.0,358080
1781830695000.0,368856
1781830710000.0,371612
1781830725000.0,406019
1781830740000.0,385162
1781830755000.0,315162
1781830770000.0,345188
1781830785000.0,343882
1781830800000.0,342078
1781830815000.0,380220
1781830830000.0,411185
1781830845000.0,391109
1781830860000.0,375321
1781830875000.0,367270
1781830890000.0,353287
1781830905000.0,356637
1781830920000.0,398519
1781830935000.0,372174
1781830950000.0,393779
1781830965000.0,370412
1781830980000.0,447564
1781830995000.0,412313
1781831010000.0,396765
1781831025000.0,370531
1781831040000.0,426005
1781831055000.0,371872
1781831070000.0,357902
1781831085000.0,413896
1781831100000.0,379850
1781831115000.0,390111
1781831130000.0,333553
1781831145000.0,377326
1781831160000.0,412949
1781831175000.0,386921
1781831190000.0,352824
1781831205000.0,373328
1781831220000.0,357720
1781831235000.0,362103
1781831250000.0,361314
1781831265000.0,373703
1781831280000.0,437233
1781831295000.0,364865
1781831310000.0,390914
1781831325000.0,424210
1781831340000.0,368576
1781831355000.0,305594
1781831370000.0,302960
1781831385000.0,354796
1781831400000.0,351016
1781831415000.0,298216
1781831430000.0,319882
1781831445000.0,353996
1781831460000.0,319380
1781831475000.0,292714
1781831490000.0,307984
1781831505000.0,275232
1781831520000.0,260558
1781831535000.0,287306
1781831550000.0,298319
1781831565000.0,292411
1781831580000.0,279151
1781831595000.0,275641
1781831610000.0,309186
1781831625000.0,293993
1781831640000.0,235489
1781831655000.0,240882
1781831670000.0,278342
1781831685000.0,313873
1781831700000.0,304674
1781831715000.0,308333
1781831730000.0,304946
1781831745000.0,305589
1781831760000.0,298579
1781831775000.0,293392
1781831790000.0,286576
1781831805000.0,313618
1781831820000.0,315337
1781831835000.0,311028
1781831850000.0,322931
1781831865000.0,304989
1781831880000.0,282382
1781831895000.0,269008
1781831910000.0,248898
1781831925000.0,296647
1781831940000.0,292834
1781831955000.0,282311
1781831970000.0,264521
1781831985000.0,249612
1781832000000.0,211314
1781832015000.0,245670
1781832030000.0,257281
1781832045000.0,247069
1781832060000.0,260253
1781832075000.0,283071
1781832090000.0,300347
1781832105000.0,326491
1781832120000.0,324543
1781832135000.0,308003
1781832150000.0,306609
1781832165000.0,307780
1781832180000.0,285088
1781832195000.0,275355
1781832210000.0,277660
1781832225000.0,301453
1781832240000.0,270736
1781832255000.0,242532
1781832270000.0,257829
1781832285000.0,235861
1781832300000.0,217974
1781832315000.0,234246
1781832330000.0,246132
1781832345000.0,245025
1781832360000.0,244332
1781832375000.0,224250
1781832390000.0,199344
1781832405000.0,236340
1781832420000.0,257049
1781832435000.0,226831
1781832450000.0,225582
1781832465000.0,247837
1781832480000.0,237844
1781832495000.0,234593
1781832510000.0,248871
1781832525000.0,224251
1781832540000.0,209062
1781832555000.0,248456
1781832570000.0,198040
1781832585000.0,196409
1781832600000.0,233852
1781832615000.0,241811
1781832630000.0,200250
1781832645000.0,206650
1781832660000.0,230585
1781832675000.0,271608
1781832690000.0,250324
1781832705000.0,217093
1781832720000.0,245798
1781832735000.0,254036
1781832750000.0,241972
1781832765000.0,210423
1781832780000.0,248944
1781832795000.0,297836
1781832810000.0,304164
1781832825000.0,309494
1781832840000.0,285170
1781832855000.0,273233
1781832870000.0,266222
1781832885000.0,266180
1781832900000.0,237956
1781832915000.0,240467
1781832930000.0,240215
1781832945000.0,260347
1781832960000.0,225404
1781832975000.0,237393
1781832990000.0,271990
1781833005000.0,292438
1781833020000.0,289824
1781833035000.0,264256
1781833050000.0,266468
1781833065000.0,247611
1781833080000.0,217461
1781833095000.0,242931
1781833110000.0,256012
1781833125000.0,253646
1781833140000.0,269545
1781833155000.0,286404
1781833170000.0,308342
1781833185000.0,272458
1781833200000.0,295485
1781833215000.0,262457
1781833230000.0,243569
1781833245000.0,252766
1781833260000.0,238302
1781833275000.0,234818
1781833290000.0,236814
1781833305000.0,205268
1781833320000.0,187288
1781833335000.0,182768
1781833350000.0,205478
1781833365000.0,201027
1781833380000.0,232297
1781833395000.0,247725
1781833410000.0,255274
1781833425000.0,228208
1781833440000.0,233763
1781833455000.0,266500
1781833470000.0,250455
1781833485000.0,237940
1781833500000.0,215288
1781833515000.0,220957
1781833530000.0,199468
1781833545000.0,193551
1781833560000.0,171906
1781833575000.0,175152
1781833590000.0,169034
1781833605000.0,158762
1781833620000.0,184285
1781833635000.0,212398
1781833650000.0,196097
1781833665000.0,198596
1781833680000.0,207047
1781833695000.0,206512
1781833710000.0,217770
1781833725000.0,228200
1781833740000.0,230289
1781833755000.0,231726
1781833770000.0,237358
1781833785000.0,216279
1781833800000.0,191596
1781833815000.0,191170
1781833830000.0,182148
1781833845000.0,172671
1781833860000.0,192779
1781833875000.0,196198
1781833890000.0,178453
1781833905000.0,170560
1781833920000.0,161348
1781833935000.0,162700
1781833950000.0,169025
1781833965000.0,144346
1781833980000.0,157735
1781833995000.0,125504
1781834010000.0,117033
1781834025000.0,142329
1781834040000.0,138277
1781834055000.0,169647
1781834070000.0,193178
1781834085000.0,180065
1781834100000.0,169916
1781834115000.0,129286
1781834130000.0,115096
1781834145000.0,124495
1781834160000.0,133258
1781834175000.0,116726
1781834190000.0,115347
1781834205000.0,144298
1781834220000.0,125917
1781834235000.0,138116
1781834250000.0,143477
1781834265000.0,125354
1781834280000.0,97353
1781834295000.0,99290
1781834310000.0,107167
1781834325000.0,104725
1781834340000.0,124788
1781834355000.0,140044
1781834370000.0,152831
1781834385000.0,155622
1781834400000.0,174268
1781834415000.0,169877
1781834430000.0,168514
1781834445000.0,167344
1781834460000.0,162100
1781834475000.0,153081
1781834490000.0,190046
1781834505000.0,152842
1781834520000.0,142941
1781834535000.0,137742
1781834550000.0,154414
1781834565000.0,113804
1781834580000.0,105270
1781834595000.0,115404
1781834610000.0,131436
1781834625000.0,125758
1781834640000.0,127653
1781834655000.0,145718
1781834670000.0,144208
1781834685000.0,135231
1781834700000.0,141540
1781834715000.0,138204
1781834730000.0,127052
1781834745000.0,137831
1781834760000.0,103151
1781834775000.0,96102
1781834790000.0,123887
1781834805000.0,130864
1781834820000.0,132582
1781834835000.0,131200
1781834850000.0,121090
1781834865000.0,122412
1781834880000.0,137458
1781834895000.0,123292
1781834910000.0,119583
1781834925000.0,130695
1781834940000.0,114851
1781834955000.0,113992
1781834970000.0,113744
1781834985000.0,120180
1781835000000.0,115157
1781835015000.0,115775
1781835030000.0,130615
1781835045000.0,126670
1781835060000.0,115891
1781835075000.0,142689
1781835090000.0,133849
1781835105000.0,144273
1781835120000.0,160544
1781835135000.0,157523
1781835150000.0,131760
1781835165000.0,137410
1781835180000.0,141993
1781835195000.0,129481
1781835210000.0,125012
1781835225000.0,126059
1781835240000.0,127426
1781835255000.0,120250
1781835270000.0,128784
1781835285000.0,145440
1781835300000.0,116590
1781835315000.0,125472
1781835330000.0,118066
1781835345000.0,109792
1781835360000.0,97672
1781835375000.0,126829
1781835390000.0,114460
1781835405000.0,135952
1781835420000.0,124031
1781835435000.0,129672
1781835450000.0,140587
1781835465000.0,110450
1781835480000.0,118502
1781835495000.0,129965
1781835510000.0,141475
1781835525000.0,131770
1781835540000.0,132716
1781835555000.0,153108
1781835570000.0,144397
1781835585000.0,130325
1781835600000.0,141141
1781835615000.0,151831
1781835630000.0,148292
1781835645000.0,134660
1781835660000.0,147436
1781835675000.0,157266
1781835690000.0,123124
1781835705000.0,130170
1781835720000.0,124873
1781835735000.0,106808
1781835750000.0,127087
1781835765000.0,115484
1781835780000.0,116616
1781835795000.0,144653
1781835810000.0,156764
1781835825000.0,156889
1781835840000.0,145893
1781835855000.0,161863
1781835870000.0,176950
1781835885000.0,165687
1781835900000.0,158653
1781835915000.0,166135
1781835930000.0,159084
1781835945000.0,176428
1781835960000.0,170382
1781835975000.0,179972
1781835990000.0,202131
1781836005000.0,201740
1781836020000.0,181274
1781836035000.0,167726
1781836050000.0,169140
1781836065000.0,162751
1781836080000.0,189467
1781836095000.0,179340
1781836110000.0,159162
1781836125000.0,155699
1781836140000.0,167270
1781836155000.0,187195
1781836170000.0,195796
1781836185000.0,194142
1781836200000.0,174964
1781836215000.0,160571
1781836230000.0,173966
1781836245000.0,176085
1781836260000.0,173668
1781836275000.0,176518
1781836290000.0,174743
1781836305000.0,155933
1781836320000.0,162049
1781836335000.0,162568
1781836350000.0,178263
1781836365000.0,179233
1781836380000.0,195331
1781836395000.0,182797
1781836410000.0,192580
1781836425000.0,196618
1781836440000.0,197485
1781836455000.0,210077
1781836470000.0,202286
1781836485000.0,194705
1781836500000.0,188770
1781836515000.0,179520
1781836530000.0,183515
1781836545000.0,168219
1781836560000.0,136901
1781836575000.0,145706
1781836590000.0,160961
1781836605000.0,159967
1781836620000.0,196434
1781836635000.0,178074
1781836650000.0,181311
1781836665000.0,161747
1781836680000.0,171208
1781836695000.0,183337
1781836710000.0,172478
1781836725000.0,178112
1781836740000.0,173106
1781836755000.0,202908
1781836770000.0,174178
1781836785000.0,145604
1781836800000.0,158996
1781836815000.0,167553
1781836830000.0,191494
1781836845000.0,203220
1781836860000.0,231834
1781836875000.0,232056
1781836890000.0,236646
1781836905000.0,219827
1781836920000.0,205377
1781836935000.0,225742
1781836950000.0,187704
1781836965000.0,180844
1781836980000.0,199768
1781836995000.0,192025
1781837010000.0,194946
1781837025000.0,171213
1781837040000.0,215922
1781837055000.0,238949
