time_index,card.nic.pps.avg.t
1781829600000.0,148013
1781829615000.0,148100
1781829630000.0,147942
1781829645000.0,148123
1781829660000.0,148029
1781829675000.0,148473
1781829690000.0,148091
1781829705000.0,148404
1781829720000.0,147853
1781829735000.0,148178
1781829750000.0,147789
1781829765000.0,148083
1781829780000.0,147881
1781829795000.0,148046
1781829810000.0,147874
1781829825000.0,148082
1781829840000.0,147816
1781829855000.0,148126
1781829870000.0,147808
1781829885000.0,148482
1781829900000.0,148824
1781829915000.0,148101
1781829930000.0,147829
1781829945000.0,148200
1781829960000.0,148001
1781829975000.0,148148
1781829990000.0,147893
1781830005000.0,148054
1781830020000.0,148312
1781830035000.0,148123
1781830050000.0,147802
1781830065000.0,147888
1781830080000.0,148305
1781830095000.0,148093
1781830110000.0,147876
1781830125000.0,148243
1781830140000.0,148132
1781830155000.0,148066
1781830170000.0,151043
1781830185000.0,150560
1781830200000.0,149325
1781830215000.0,149673
1781830230000.0,151397
1781830245000.0,151409
1781830260000.0,148931
1781830275000.0,149549
1781830290000.0,150637
1781830305000.0,149618
1781830320000.0,148294
1781830335000.0,148078
1781830350000.0,147872
1781830365000.0,148355
1781830380000.0,150460
1781830395000.0,148401
1781830410000.0,149976
1781830425000.0,148870
1781830440000.0,148161
1781830455000.0,148429
1781830470000.0,148047
1781830485000.0,148270
1781830500000.0,147980
1781830515000.0,150581
1781830530000.0,150263
1781830545000.0,149440
1781830560000.0,148679
1781830575000.0,149920
1781830590000.0,148876
1781830605000.0,149153
1781830620000.0,148906
1781830635000.0,181233
1781830650000.0,159299
1781830665000.0,167018
1781830680000.0,148606
1781830695000.0,148694
1781830710000.0,149677
1781830725000.0,148719
1781830740000.0,150439
1781830755000.0,150190
1781830770000.0,151752
1781830785000.0,151917
1781830800000.0,149602
1781830815000.0,149398
1781830830000.0,148809
1781830845000.0,150095
1781830860000.0,149603
1781830875000.0,149014
1781830890000.0,149019
1781830905000.0,148858
1781830920000.0,148908
1781830935000.0,151141
1781830950000.0,165369
1781830965000.0,158043
1781830980000.0,148910
1781830995000.0,148783
1781831010000.0,148827
1781831025000.0,148712
1781831040000.0,148641
1781831055000.0,148408
1781831070000.0,148939
1781831085000.0,150078
1781831100000.0,151348
1781831115000.0,150354
1781831130000.0,150824
1781831145000.0,150092
1781831160000.0,149128
1781831175000.0,148288
1781831190000.0,149001
1781831205000.0,149302
1781831220000.0,149600
1781831235000.0,149234
1781831250000.0,148841
1781831265000.0,148834
1781831280000.0,148626
1781831295000.0,148802
1781831310000.0,149502
1781831325000.0,151681
1781831340000.0,149606
1781831355000.0,148944
1781831370000.0,148705
1781831385000.0,149122
1781831400000.0,149874
1781831415000.0,149620
1781831430000.0,149324
1781831445000.0,148838
1781831460000.0,149031
1781831475000.0,149414
1781831490000.0,150008
1781831505000.0,149734
1781831520000.0,149640
1781831535000.0,148832
1781831550000.0,148569
1781831565000.0,148336
1781831580000.0,148756
1781831595000.0,148566
1781831610000.0,148732
1781831625000.0,148576
1781831640000.0,148703
1781831655000.0,148422
1781831670000.0,149043
1781831685000.0,148522
1781831700000.0,149526
1781831715000.0,148126
1781831730000.0,148929
1781831745000.0,149084
1781831760000.0,149264
1781831775000.0,148364
1781831790000.0,148132
1781831805000.0,149076
1781831820000.0,149723
1781831835000.0,147907
1781831850000.0,148149
1781831865000.0,149680
1781831880000.0,148957
1781831895000.0,147772
1781831910000.0,148591
1781831925000.0,149217
1781831940000.0,148514
1781831955000.0,148307
1781831970000.0,148484
1781831985000.0,148412
1781832000000.0,148720
1781832015000.0,148511
1781832030000.0,148685
1781832045000.0,148699
1781832060000.0,148500
1781832075000.0,148584
1781832090000.0,148752
1781832105000.0,148460
1781832120000.0,148734
1781832135000.0,148478
1781832150000.0,148803
1781832165000.0,148528
1781832180000.0,148878
1781832195000.0,149192
1781832210000.0,148788
1781832225000.0,148475
1781832240000.0,148640
1781832255000.0,148637
1781832270000.0,149829
1781832285000.0,148859
1781832300000.0,149232
1781832315000.0,148479
1781832330000.0,148588
1781832345000.0,148627
1781832360000.0,148696
1781832375000.0,148523
1781832390000.0,148542
1781832405000.0,148220
1781832420000.0,149011
1781832435000.0,148808
1781832450000.0,149106
1781832465000.0,148769
1781832480000.0,149085
1781832495000.0,147944
1781832510000.0,148354
1781832525000.0,147825
1781832540000.0,148728
1781832555000.0,147850
1781832570000.0,148126
1781832585000.0,148238
1781832600000.0,148453
1781832615000.0,147777
1781832630000.0,148091
1781832645000.0,147652
1781832660000.0,148082
1781832675000.0,148063
1781832690000.0,148218
1781832705000.0,148274
1781832720000.0,148154
1781832735000.0,147828
1781832750000.0,148716
1781832765000.0,147782
1781832780000.0,146630
1781832795000.0,148050
1781832810000.0,148130
1781832825000.0,150907
1781832840000.0,152337
1781832855000.0,150352
1781832870000.0,149022
1781832885000.0,148628
1781832900000.0,151842
1781832915000.0,150656
1781832930000.0,149424
1781832945000.0,148136
1781832960000.0,149166
1781832975000.0,149306
1781832990000.0,149321
1781833005000.0,149536
1781833020000.0,148529
1781833035000.0,149513
1781833050000.0,148514
1781833065000.0,147673
1781833080000.0,149237
1781833095000.0,148654
1781833110000.0,148565
1781833125000.0,148247
1781833140000.0,148773
1781833155000.0,148684
1781833170000.0,150000
1781833185000.0,152235
1781833200000.0,149860
1781833215000.0,149787
1781833230000.0,149266
1781833245000.0,149024
1781833260000.0,149224
1781833275000.0,148832
1781833290000.0,148955
1781833305000.0,148772
1781833320000.0,148983
1781833335000.0,149164
1781833350000.0,148876
1781833365000.0,149430
1781833380000.0,149392
1781833395000.0,149389
1781833410000.0,149304
1781833425000.0,149119
1781833440000.0,149408
1781833455000.0,149179
1781833470000.0,149294
1781833485000.0,149172
1781833500000.0,148884
1781833515000.0,148708
1781833530000.0,148738
1781833545000.0,148594
1781833560000.0,148728
1781833575000.0,148473
1781833590000.0,148905
1781833605000.0,148183
1781833620000.0,148341
1781833635000.0,148818
1781833650000.0,148988
1781833665000.0,148530
1781833680000.0,148739
1781833695000.0,148373
1781833710000.0,148848
1781833725000.0,148673
1781833740000.0,148617
1781833755000.0,148475
1781833770000.0,148558
1781833785000.0,148228
1781833800000.0,149284
1781833815000.0,148630
1781833830000.0,148796
1781833845000.0,148910
1781833860000.0,149053
1781833875000.0,148586
1781833890000.0,148952
1781833905000.0,149680
1781833920000.0,149848
1781833935000.0,149250
1781833950000.0,149203
1781833965000.0,149806
1781833980000.0,149894
1781833995000.0,149896
1781834010000.0,149653
1781834025000.0,150022
1781834040000.0,149946
1781834055000.0,150164
1781834070000.0,149960
1781834085000.0,149679
1781834100000.0,149294
1781834115000.0,150006
1781834130000.0,149504
1781834145000.0,149967
1781834160000.0,148834
1781834175000.0,150583
1781834190000.0,148851
1781834205000.0,148694
1781834220000.0,148334
1781834235000.0,147942
1781834250000.0,148233
1781834265000.0,147925
1781834280000.0,147885
1781834295000.0,147950
1781834310000.0,148162
1781834325000.0,147923
1781834340000.0,148223
1781834355000.0,147876
1781834370000.0,148613
1781834385000.0,149036
1781834400000.0,148111
1781834415000.0,149874
1781834430000.0,150436
1781834445000.0,149837
1781834460000.0,150113
1781834475000.0,149524
1781834490000.0,149935
1781834505000.0,149719
1781834520000.0,149334
1781834535000.0,149130
1781834550000.0,149880
1781834565000.0,148274
1781834580000.0,148506
1781834595000.0,148406
1781834610000.0,148608
1781834625000.0,148323
1781834640000.0,148829
1781834655000.0,148654
1781834670000.0,148986
1781834685000.0,149052
1781834700000.0,149012
1781834715000.0,149312
1781834730000.0,149882
1781834745000.0,149427
1781834760000.0,149486
1781834775000.0,149736
1781834790000.0,149850
1781834805000.0,150152
1781834820000.0,149236
1781834835000.0,149379
1781834850000.0,149166
1781834865000.0,149226
1781834880000.0,149852
1781834895000.0,150019
1781834910000.0,150123
1781834925000.0,150373
1781834940000.0,149650
1781834955000.0,149173
1781834970000.0,149584
1781834985000.0,149581
1781835000000.0,149773
1781835015000.0,148456
1781835030000.0,148512
1781835045000.0,148781
1781835060000.0,148429
1781835075000.0,148597
1781835090000.0,149110
1781835105000.0,149021
1781835120000.0,149360
1781835135000.0,149023
1781835150000.0,151266
1781835165000.0,149382
1781835180000.0,149007
1781835195000.0,149047
1781835210000.0,149798
1781835225000.0,149543
1781835240000.0,149590
1781835255000.0,148840
1781835270000.0,148601
1781835285000.0,148475
1781835300000.0,148892
1781835315000.0,148978
1781835330000.0,148907
1781835345000.0,148918
1781835360000.0,149277
1781835375000.0,148587
1781835390000.0,148578
1781835405000.0,148717
1781835420000.0,148536
1781835435000.0,149155
1781835450000.0,149055
1781835465000.0,149476
1781835480000.0,149172
1781835495000.0,147824
1781835510000.0,147962
1781835525000.0,147948
1781835540000.0,148035
1781835555000.0,147691
1781835570000.0,148076
1781835585000.0,147833
1781835600000.0,148882
1781835615000.0,148711
1781835630000.0,148983
1781835645000.0,148244
1781835660000.0,148359
1781835675000.0,147824
1781835690000.0,148138
1781835705000.0,147839
1781835720000.0,148023
1781835735000.0,147834
1781835750000.0,148374
1781835765000.0,148778
1781835780000.0,148992
1781835795000.0,148790
1781835810000.0,148178
1781835825000.0,147909
1781835840000.0,148002
1781835855000.0,147960
1781835870000.0,147830
1781835885000.0,147863
1781835900000.0,148841
1781835915000.0,148806
1781835930000.0,148723
1781835945000.0,148506
1781835960000.0,148075
1781835975000.0,148052
1781835990000.0,148904
1781836005000.0,147893
1781836020000.0,148403
1781836035000.0,147959
1781836050000.0,147860
1781836065000.0,147850
1781836080000.0,148078
1781836095000.0,147636
1781836110000.0,148107
1781836125000.0,147916
1781836140000.0,148025
1781836155000.0,147803
1781836170000.0,147856
1781836185000.0,147704
1781836200000.0,147998
1781836215000.0,147894
1781836230000.0,148112
1781836245000.0,147877
1781836260000.0,147805
1781836275000.0,147903
1781836290000.0,148098
1781836305000.0,147849
1781836320000.0,148083
1781836335000.0,147890
1781836350000.0,148135
1781836365000.0,147664
1781836380000.0,148116
1781836395000.0,147929
1781836410000.0,148256
1781836425000.0,147824
1781836440000.0,148551
1781836455000.0,148042
1781836470000.0,148596
1781836485000.0,147833
1781836500000.0,148173
1781836515000.0,148228
1781836530000.0,148034
1781836545000.0,148047
1781836560000.0,148496
1781836575000.0,148064
1781836590000.0,148318
1781836605000.0,148034
1781836620000.0,148100
1781836635000.0,148009
1781836650000.0,148190
1781836665000.0,147849
1781836680000.0,148286
1781836695000.0,147747
1781836710000.0,148282
1781836725000.0,148030
1781836740000.0,148441
1781836755000.0,148313
1781836770000.0,149262
1781836785000.0,148439
1781836800000.0,148657
1781836815000.0,148362
1781836830000.0,148653
1781836845000.0,148393
1781836860000.0,148119
1781836875000.0,148059
1781836890000.0,148188
1781836905000.0,147998
1781836920000.0,148042
1781836935000.0,147862
1781836950000.0,148076
1781836965000.0,147683
1781836980000.0,148100
1781836995000.0,147812
1781837010000.0,148031
1781837025000.0,148543
1781837040000.0,148375
1781837055000.0,147871
1781837070000.0,148110
1781837085000.0,148140
1781837100000.0,148158
1781837115000.0,147986
1781837130000.0,148433
1781837145000.0,147563
1781837160000.0,148111
1781837175000.0,147548
1781837190000.0,148319
1781837205000.0,148085
1781837220000.0,148188
1781837235000.0,147844
1781837250000.0,148146
1781837265000.0,147876
1781837280000.0,148330
1781837295000.0,147836
1781837310000.0,148163
1781837325000.0,147880
1781837340000.0,148112
1781837355000.0,147847
1781837370000.0,147932
1781837385000.0,147984
1781837400000.0,148069
1781837415000.0,147843
1781837430000.0,148090
1781837445000.0,148558
1781837460000.0,148270
1781837475000.0,147838
1781837490000.0,148305
1781837505000.0,147773
1781837520000.0,148095
1781837535000.0,147839
1781837550000.0,148129
1781837565000.0,147926
1781837580000.0,148182
1781837595000.0,147747
1781837610000.0,148133
1781837625000.0,147882
1781837640000.0,147914
1781837655000.0,147858
1781837670000.0,148046
1781837685000.0,147874
1781837700000.0,148096
1781837715000.0,148465
1781837730000.0,147869
1781837745000.0,147931
1781837760000.0,148016
1781837775000.0,147614
1781837790000.0,148102
1781837805000.0,147890
1781837820000.0,147882
1781837835000.0,147916
1781837850000.0,148345
1781837865000.0,147809
1781837880000.0,148127
1781837895000.0,147608
1781837910000.0,148359
1781837925000.0,147822
1781837940000.0,147896
1781837955000.0,148164
1781837970000.0,148050
1781837985000.0,147942
1781838000000.0,148027
1781838015000.0,147930
1781838030000.0,148097
1781838045000.0,147872
1781838060000.0,148420
1781838075000.0,148087
1781838090000.0,148392
1781838105000.0,147717
1781838120000.0,148151
1781838135000.0,148049
1781838150000.0,148168
1781838165000.0,147825
1781838180000.0,148342
1781838195000.0,147917
1781838210000.0,148129
1781838225000.0,147648
1781838240000.0,148188
1781838255000.0,148088
1781838270000.0,148042
1781838285000.0,147806
1781838300000.0,148066
1781838315000.0,147911
1781838330000.0,148016
1781838345000.0,147956
1781838360000.0,148083
1781838375000.0,147902
1781838390000.0,148128
1781838405000.0,148164
1781838420000.0,148010
1781838435000.0,147831
1781838450000.0,147903
1781838465000.0,147792
1781838480000.0,147821
1781838495000.0,148625
1781838510000.0,147875
1781838525000.0,147860
1781838540000.0,148111
1781838555000.0,147959
1781838570000.0,147929
1781838585000.0,148719
1781838600000.0,147852
1781838615000.0,147716
1781838630000.0,148217
1781838645000.0,147954
1781838660000.0,148211
1781838675000.0,147909
1781838690000.0,147952
1781838705000.0,147822
1781838720000.0,148074
1781838735000.0,148038
1781838750000.0,148370
1781838765000.0,147602
1781838780000.0,148049
1781838795000.0,148301
1781838810000.0,147943
1781838825000.0,147824
1781838840000.0,148148
1781838855000.0,148033
1781838870000.0,148083
1781838885000.0,147922
1781838900000.0,148151
1781838915000.0,147842
1781838930000.0,148073
1781838945000.0,147855
1781838960000.0,148507
1781838975000.0,147897
1781838990000.0,148138
1781839005000.0,147872
1781839020000.0,148075
1781839035000.0,147905
1781839050000.0,148095
1781839065000.0,147890
1781839080000.0,148218
1781839095000.0,148115
1781839110000.0,148072
1781839125000.0,147810
1781839140000.0,148070
1781839155000.0,147594
1781839170000.0,148331
1781839185000.0,147880
1781839200000.0,148148
1781839215000.0,147989
1781839230000.0,148103
1781839245000.0,147855
1781839260000.0,147839
1781839275000.0,147708
1781839290000.0,149292
1781839305000.0,149605
1781839320000.0,149728
1781839335000.0,148789
1781839350000.0,151244
1781839365000.0,147818
1781839380000.0,148228
1781839395000.0,147858
1781839410000.0,148068
1781839425000.0,147834
1781839440000.0,148162
1781839455000.0,147891
1781839470000.0,148892
1781839485000.0,148220
1781839500000.0,148124
1781839515000.0,148378
1781839530000.0,148342
1781839545000.0,147908
1781839560000.0,148256
1781839575000.0,147876
1781839590000.0,147958
1781839605000.0,148079
1781839620000.0,148110
1781839635000.0,148025
1781839650000.0,148143
1781839665000.0,148212
1781839680000.0,147852
1781839695000.0,148124
1781839710000.0,148092
1781839725000.0,147810
1781839740000.0,148168
1781839755000.0,151814
1781839770000.0,149747
1781839785000.0,149053
1781839800000.0,149522
1781839815000.0,152690
1781839830000.0,149171
1781839845000.0,149808
1781839860000.0,149451
1781839875000.0,148292
1781839890000.0,150589
1781839905000.0,148766
1781839920000.0,149887
1781839935000.0,148680
1781839950000.0,149881
1781839965000.0,150833
1781839980000.0,150128
1781839995000.0,150462
1781840010000.0,149448
1781840025000.0,148901
1781840040000.0,149289
1781840055000.0,149654
1781840070000.0,152359
1781840085000.0,151304
1781840100000.0,149617
1781840115000.0,149116
1781840130000.0,149624
1781840145000.0,149333
1781840160000.0,150290
1781840175000.0,149296
1781840190000.0,148741
1781840205000.0,148655
1781840220000.0,149269
1781840235000.0,149625
1781840250000.0,149529
1781840265000.0,149419
1781840280000.0,149289
1781840295000.0,148458
1781840310000.0,149222
1781840325000.0,148720
1781840340000.0,150431
1781840355000.0,149176
1781840370000.0,149165
1781840385000.0,149482
1781840400000.0,149738
1781840415000.0,149480
1781840430000.0,149163
1781840445000.0,148942
1781840460000.0,148879
1781840475000.0,149206
1781840490000.0,148969
1781840505000.0,149191
1781840520000.0,149050
1781840535000.0,148674
1781840550000.0,149634
1781840565000.0,150109
1781840580000.0,149638
1781840595000.0,149502
1781840610000.0,149318
1781840625000.0,149398
1781840640000.0,149449
1781840655000.0,149380
