time_index,card.nic.bps.avg.r
1781829600000.0,5652949600
1781829615000.0,5678234000
1781829630000.0,6097967600
1781829645000.0,5772440400
1781829660000.0,6232701200
1781829675000.0,5666778800
1781829690000.0,5713493600
1781829705000.0,5602316000
1781829720000.0,5412193600
1781829735000.0,4920385600
1781829750000.0,4911506800
1781829765000.0,4349136800
1781829780000.0,5014308000
1781829795000.0,4686776800
1781829810000.0,4995357200
1781829825000.0,4976074800
1781829840000.0,5229598800
1781829855000.0,5706784000
1781829870000.0,5404678400
1781829885000.0,5424348400
1781829900000.0,5139564800
1781829915000.0,4865332000
1781829930000.0,5310215600
1781829945000.0,4871293600
1781829960000.0,5135872800
1781829975000.0,4963410000
1781829990000.0,4794136800
1781830005000.0,4839486400
1781830020000.0,4743433200
1781830035000.0,4674693600
1781830050000.0,5555487600
1781830065000.0,6113240400
1781830080000.0,5802145600
1781830095000.0,5589788800
1781830110000.0,5633941600
1781830125000.0,5258161600
1781830140000.0,5052748400
1781830155000.0,5360376800
1781830170000.0,4618605600
1781830185000.0,4849124800
1781830200000.0,4989818800
1781830215000.0,4576510800
1781830230000.0,4382067200
1781830245000.0,4036843200
1781830260000.0,4476370000
1781830275000.0,4810124000
1781830290000.0,4958921600
1781830305000.0,4792414400
1781830320000.0,4704736400
1781830335000.0,4597882000
1781830350000.0,4209231600
1781830365000.0,4192885200
1781830380000.0,3980002800
1781830395000.0,3967861600
1781830410000.0,3746788000
1781830425000.0,4409493200
1781830440000.0,3931870400
1781830455000.0,3711794000
1781830470000.0,4175722000
1781830485000.0,3933798800
1781830500000.0,4373224000
1781830515000.0,4695941600
1781830530000.0,4738310800
1781830545000.0,4526720000
1781830560000.0,3987303600
1781830575000.0,3960395600
1781830590000.0,4357609200
1781830605000.0,4334628000
1781830620000.0,4389678000
1781830635000.0,3964531600
1781830650000.0,4267224000
1781830665000.0,4509749200
1781830680000.0,4214952800
1781830695000.0,4250128000
1781830710000.0,4355917600
1781830725000.0,4120385200
1781830740000.0,3718904800
1781830755000.0,3969986400
1781830770000.0,3521146000
1781830785000.0,3849730800
1781830800000.0,3561188000
1781830815000.0,3567214400
1781830830000.0,3645293200
1781830845000.0,4261301600
1781830860000.0,4006604800
1781830875000.0,3739308000
1781830890000.0,3867828800
1781830905000.0,4214506400
1781830920000.0,3613970800
1781830935000.0,3568199200
1781830950000.0,4138850800
1781830965000.0,4854482800
1781830980000.0,4580070800
1781830995000.0,4492641200
1781831010000.0,4275101200
1781831025000.0,4734291600
1781831040000.0,3867072800
1781831055000.0,3639937600
1781831070000.0,3804246000
1781831085000.0,3617965600
1781831100000.0,3310068400
1781831115000.0,3348966600
1781831130000.0,4134615200
1781831145000.0,4914072400
1781831160000.0,5131513200
1781831175000.0,4451530000
1781831190000.0,4131298400
1781831205000.0,4497559200
1781831220000.0,4140659600
1781831235000.0,4316912800
1781831250000.0,4236038000
1781831265000.0,4403030000
1781831280000.0,4894776400
1781831295000.0,4697279600
1781831310000.0,4640904400
1781831325000.0,5020335600
1781831340000.0,4982138000
1781831355000.0,4366286800
1781831370000.0,4133564400
1781831385000.0,3866312000
1781831400000.0,3580814800
1781831415000.0,4062373600
1781831430000.0,4683076800
1781831445000.0,4826980000
1781831460000.0,4311090800
1781831475000.0,3885866400
1781831490000.0,3721753200
1781831505000.0,3365516800
