time_index,card.nic.pps.avg.t
1781829600000.0,342575
1781829615000.0,296756
1781829630000.0,355314
1781829645000.0,310476
1781829660000.0,320576
1781829675000.0,306455
1781829690000.0,397387
1781829705000.0,311769
1781829720000.0,305682
1781829735000.0,282623
1781829750000.0,298068
1781829765000.0,277616
1781829780000.0,301246
1781829795000.0,312604
1781829810000.0,274920
1781829825000.0,256114
1781829840000.0,329536
1781829855000.0,334989
1781829870000.0,304691
1781829885000.0,288707
1781829900000.0,278099
1781829915000.0,321813
1781829930000.0,313068
1781829945000.0,306146
1781829960000.0,300761
1781829975000.0,337506
1781829990000.0,310018
1781830005000.0,333038
1781830020000.0,353945
1781830035000.0,332024
1781830050000.0,272900
1781830065000.0,265336
1781830080000.0,331118
1781830095000.0,288704
1781830110000.0,295932
1781830125000.0,318152
1781830140000.0,349498
1781830155000.0,222094
1781830170000.0,312291
1781830185000.0,302564
1781830200000.0,273159
1781830215000.0,347548
1781830230000.0,279078
1781830245000.0,266462
1781830260000.0,331789
1781830275000.0,329770
1781830290000.0,338665
1781830305000.0,325886
1781830320000.0,314313
1781830335000.0,276726
1781830350000.0,289340
1781830365000.0,258446
1781830380000.0,273737
1781830395000.0,293601
1781830410000.0,264555
1781830425000.0,249636
1781830440000.0,216882
1781830455000.0,326792
1781830470000.0,253401
1781830485000.0,282668
1781830500000.0,294097
1781830515000.0,282870
1781830530000.0,300056
1781830545000.0,332688
1781830560000.0,269043
1781830575000.0,271498
1781830590000.0,197004
1781830605000.0,301010
1781830620000.0,303096
1781830635000.0,269062
1781830650000.0,282198
1781830665000.0,265933
1781830680000.0,279649
1781830695000.0,270509
1781830710000.0,243225
1781830725000.0,280129
1781830740000.0,280336
1781830755000.0,324520
1781830770000.0,266836
1781830785000.0,254488
1781830800000.0,215411
1781830815000.0,245505
1781830830000.0,220348
1781830845000.0,156448
1781830860000.0,211638
1781830875000.0,292625
1781830890000.0,255509
1781830905000.0,305687
1781830920000.0,316814
1781830935000.0,209044
1781830950000.0,284438
1781830965000.0,289583
1781830980000.0,275433
1781830995000.0,274910
1781831010000.0,214230
1781831025000.0,241017
1781831040000.0,268114
1781831055000.0,265150
1781831070000.0,301007
1781831085000.0,264623
1781831100000.0,230725
1781831115000.0,212676
1781831130000.0,232636
1781831145000.0,247064
1781831160000.0,239352
1781831175000.0,203885
1781831190000.0,210667
1781831205000.0,211469
1781831220000.0,226557
1781831235000.0,196014
1781831250000.0,193916
1781831265000.0,172834
1781831280000.0,176954
1781831295000.0,233206
1781831310000.0,205838
1781831325000.0,223262
1781831340000.0,251699
1781831355000.0,271054
1781831370000.0,292258
1781831385000.0,219428
1781831400000.0,241641
1781831415000.0,261145
1781831430000.0,220753
1781831445000.0,235090
1781831460000.0,242867
1781831475000.0,264849
1781831490000.0,228844
1781831505000.0,236567
1781831520000.0,211626
1781831535000.0,199874
1781831550000.0,239144
1781831565000.0,182822
1781831580000.0,156310
1781831595000.0,188570
1781831610000.0,200280
1781831625000.0,198151
1781831640000.0,197963
1781831655000.0,198935
1781831670000.0,188200
1781831685000.0,201576
1781831700000.0,232953
1781831715000.0,204798
1781831730000.0,201237
1781831745000.0,229017
1781831760000.0,201505
1781831775000.0,190132
1781831790000.0,176612
1781831805000.0,169872
1781831820000.0,196368
1781831835000.0,175199
1781831850000.0,202257
1781831865000.0,210122
1781831880000.0,199092
1781831895000.0,243123
1781831910000.0,217221
1781831925000.0,237304
1781831940000.0,155030
1781831955000.0,176277
1781831970000.0,228786
1781831985000.0,217280
1781832000000.0,260954
1781832015000.0,240186
1781832030000.0,166639
1781832045000.0,200159
1781832060000.0,194231
1781832075000.0,202214
1781832090000.0,200263
1781832105000.0,154690
1781832120000.0,144105
1781832135000.0,165062
1781832150000.0,126928
1781832165000.0,134890
1781832180000.0,147537
1781832195000.0,146532
1781832210000.0,161393
1781832225000.0,189694
1781832240000.0,204721
1781832255000.0,203029
1781832270000.0,195090
1781832285000.0,133649
1781832300000.0,169452
1781832315000.0,200440
1781832330000.0,174287
1781832345000.0,178923
1781832360000.0,146977
1781832375000.0,149858
1781832390000.0,145229
1781832405000.0,146792
1781832420000.0,245082
1781832435000.0,220764
1781832450000.0,188353
1781832465000.0,199745
1781832480000.0,179694
1781832495000.0,152442
1781832510000.0,116499
1781832525000.0,209175
1781832540000.0,161236
1781832555000.0,166936
1781832570000.0,174836
1781832585000.0,226555
1781832600000.0,192632
1781832615000.0,143764
1781832630000.0,118606
1781832645000.0,125318
1781832660000.0,130004
1781832675000.0,142861
1781832690000.0,105682
1781832705000.0,85309
1781832720000.0,104222
1781832735000.0,134609
1781832750000.0,141600
1781832765000.0,131058
1781832780000.0,119274
1781832795000.0,153500
1781832810000.0,141528
1781832825000.0,150637
1781832840000.0,169614
1781832855000.0,171811
1781832870000.0,185385
1781832885000.0,116186
1781832900000.0,104168
1781832915000.0,124945
1781832930000.0,108939
1781832945000.0,140904
1781832960000.0,123226
1781832975000.0,127397
1781832990000.0,156413
1781833005000.0,122751
1781833020000.0,119020
1781833035000.0,121734
1781833050000.0,121184
1781833065000.0,145585
1781833080000.0,153153
1781833095000.0,129548
1781833110000.0,151206
1781833125000.0,181344
1781833140000.0,130758
1781833155000.0,107692
1781833170000.0,98154
1781833185000.0,104754
1781833200000.0,154745
1781833215000.0,139913
1781833230000.0,123358
1781833245000.0,115602
1781833260000.0,103738
1781833275000.0,127387
1781833290000.0,166137
1781833305000.0,120938
1781833320000.0,116210
1781833335000.0,117036
1781833350000.0,103496
1781833365000.0,73484
1781833380000.0,101532
1781833395000.0,101356
1781833410000.0,81941
1781833425000.0,81820
1781833440000.0,69636
1781833455000.0,118773
1781833470000.0,108532
1781833485000.0,104688
1781833500000.0,101502
1781833515000.0,78328
1781833530000.0,64948
1781833545000.0,101759
1781833560000.0,93470
1781833575000.0,145993
1781833590000.0,115252
1781833605000.0,170980
1781833620000.0,139800
1781833635000.0,96802
1781833650000.0,99167
1781833665000.0,81758
1781833680000.0,71257
1781833695000.0,101374
1781833710000.0,66438
1781833725000.0,89806
