time_index,card.nic.bps.avg.t
1781829600000.0,341602760
1781829615000.0,551234760
1781829630000.0,595967080
1781829645000.0,660633840
1781829660000.0,2866296400
1781829675000.0,388104280
1781829690000.0,511165640
1781829705000.0,641361960
1781829720000.0,558010720
1781829735000.0,2790393200
1781829750000.0,362908520
1781829765000.0,627166160
1781829780000.0,590452080
1781829795000.0,665033680
1781829810000.0,2942675600
1781829825000.0,305555880
1781829840000.0,519812760
1781829855000.0,612310800
1781829870000.0,631296320
1781829885000.0,2902299040
1781829900000.0,295835264
1781829915000.0,541011920
1781829930000.0,630199640
1781829945000.0,664860160
1781829960000.0,2751085360
1781829975000.0,334521780
1781829990000.0,502531320
1781830005000.0,620163960
1781830020000.0,703809840
1781830035000.0,2968402000
1781830050000.0,331766960
1781830065000.0,548737680
1781830080000.0,581821680
1781830095000.0,707995240
1781830110000.0,2977500800
1781830125000.0,300974440
1781830140000.0,573118880
1781830155000.0,570042640
1781830170000.0,603351640
1781830185000.0,2259817880
1781830200000.0,463168800
1781830215000.0,558237760
1781830230000.0,537011080
1781830245000.0,595700880
1781830260000.0,2146354000
1781830275000.0,548886120
1781830290000.0,552825360
1781830305000.0,553896760
1781830320000.0,584012200
1781830335000.0,2248975200
1781830350000.0,531207280
1781830365000.0,525967520
1781830380000.0,611586720
1781830395000.0,614181920
1781830410000.0,1819462400
1781830425000.0,661554880
1781830440000.0,592836200
1781830455000.0,612571360
1781830470000.0,547875360
1781830485000.0,2002070400
1781830500000.0,497279280
1781830515000.0,553770200
1781830530000.0,697470880
1781830545000.0,618693680
1781830560000.0,2636966920
1781830575000.0,338308360
1781830590000.0,575542280
1781830605000.0,575215120
1781830620000.0,621470520
1781830635000.0,2474575480
1781830650000.0,375104680
1781830665000.0,537790200
1781830680000.0,670446680
1781830695000.0,614569680
1781830710000.0,2396757200
1781830725000.0,415343080
1781830740000.0,547302080
1781830755000.0,662070480
1781830770000.0,603832920
1781830785000.0,2544231840
1781830800000.0,453815560
1781830815000.0,509152720
1781830830000.0,640811920
1781830845000.0,590808520
1781830860000.0,2952849000
1781830875000.0,369512560
1781830890000.0,621598600
1781830905000.0,635645800
1781830920000.0,672166440
1781830935000.0,2940730160
1781830950000.0,347189864
1781830965000.0,530892040
1781830980000.0,584708720
1781830995000.0,696327080
1781831010000.0,2821132280
1781831025000.0,394719540
1781831040000.0,543131240
1781831055000.0,620466680
1781831070000.0,583329080
1781831085000.0,2460286560
1781831100000.0,397016216
1781831115000.0,504808960
1781831130000.0,587115320
1781831145000.0,654587120
1781831160000.0,2155824400
1781831175000.0,590568040
1781831190000.0,522347680
1781831205000.0,596773880
1781831220000.0,590152080
1781831235000.0,2135773200
1781831250000.0,510634000
1781831265000.0,577814800
1781831280000.0,545109200
1781831295000.0,485887240
1781831310000.0,2472079760
1781831325000.0,424270480
1781831340000.0,563178600
1781831355000.0,591261080
1781831370000.0,470814680
1781831385000.0,2157483600
1781831400000.0,479078280
1781831415000.0,465586320
1781831430000.0,477111640
1781831445000.0,523131040
1781831460000.0,2671397200
1781831475000.0,217349800
1781831490000.0,472860560
1781831505000.0,535416920
1781831520000.0,472958600
1781831535000.0,2521170000
1781831550000.0,296448480
1781831565000.0,580365120
1781831580000.0,440702960
1781831595000.0,474698640
1781831610000.0,2236345600
1781831625000.0,304445976
1781831640000.0,499774720
1781831655000.0,394022016
1781831670000.0,495640160
1781831685000.0,2086087080
1781831700000.0,217262440
1781831715000.0,435950880
1781831730000.0,330956000
1781831745000.0,457111600
1781831760000.0,1906487200
1781831775000.0,224342320
1781831790000.0,231271040
1781831805000.0,416917580
1781831820000.0,437589080
1781831835000.0,223477920
1781831850000.0,224085760
1781831865000.0,442922600
1781831880000.0,402532160
1781831895000.0,1730385200
1781831910000.0,76583600
1781831925000.0,202868680
1781831940000.0,458153920
1781831955000.0,224750976
1781831970000.0,1505793320
1781831985000.0,201888880
1781832000000.0,160906200
1781832015000.0,391386040
1781832030000.0,219220600
1781832045000.0,1678787480
1781832060000.0,47507594
1781832075000.0,196136268
1781832090000.0,428849384
1781832105000.0,184232832
1781832120000.0,1548799600
1781832135000.0,73358412
1781832150000.0,156127348
1781832165000.0,393820960
1781832180000.0,152612288
1781832195000.0,1353511120
1781832210000.0,63454540
1781832225000.0,163917272
1781832240000.0,220288640
1781832255000.0,246856424
1781832270000.0,1206491840
1781832285000.0,9742680
1781832300000.0,117858048
1781832315000.0,157703272
1781832330000.0,297760616
1781832345000.0,1149130960
1781832360000.0,9407212
1781832375000.0,57267072
1781832390000.0,104975608
1781832405000.0,336706760
1781832420000.0,1067544000
1781832435000.0,9331408
1781832450000.0,49770336
1781832465000.0,61304940
1781832480000.0,382724320
1781832495000.0,973411040
1781832510000.0,9157989
1781832525000.0,97807168
1781832540000.0,74831508
1781832555000.0,235027584
1781832570000.0,1074970200
1781832585000.0,9055976
1781832600000.0,103367052
1781832615000.0,122698612
1781832630000.0,118350560
1781832645000.0,1004889720
1781832660000.0,17563317
1781832675000.0,125976840
1781832690000.0,138990296
1781832705000.0,135334952
1781832720000.0,1188474000
1781832735000.0,8965856
1781832750000.0,141395712
1781832765000.0,140193160
1781832780000.0,93521992
1781832795000.0,960869600
1781832810000.0,8590000
1781832825000.0,141406592
1781832840000.0,107329004
1781832855000.0,39454980
1781832870000.0,821947560
1781832885000.0,9084767
1781832900000.0,138985816
1781832915000.0,35456216
1781832930000.0,45748976
1781832945000.0,917760200
