time_index,card.nic.pps.avg.t
1781829600000.0,215198
1781829615000.0,277995
1781829630000.0,286476
1781829645000.0,265858
1781829660000.0,349773
1781829675000.0,314500
1781829690000.0,297659
1781829705000.0,315312
1781829720000.0,326484
1781829735000.0,300925
1781829750000.0,320049
1781829765000.0,324259
1781829780000.0,337114
1781829795000.0,329029
1781829810000.0,277326
1781829825000.0,307297
1781829840000.0,353814
1781829855000.0,357044
1781829870000.0,357787
1781829885000.0,317510
1781829900000.0,336029
1781829915000.0,306790
1781829930000.0,290488
1781829945000.0,295534
1781829960000.0,309662
1781829975000.0,280542
1781829990000.0,294755
1781830005000.0,245549
1781830020000.0,285055
1781830035000.0,269039
1781830050000.0,284136
1781830065000.0,263914
1781830080000.0,366448
1781830095000.0,235365
1781830110000.0,262194
1781830125000.0,289994
1781830140000.0,260216
1781830155000.0,308699
1781830170000.0,274398
1781830185000.0,306920
1781830200000.0,303763
1781830215000.0,339995
1781830230000.0,296929
1781830245000.0,296162
1781830260000.0,264047
1781830275000.0,329504
1781830290000.0,302971
1781830305000.0,271484
1781830320000.0,260297
1781830335000.0,279296
1781830350000.0,287147
1781830365000.0,285154
1781830380000.0,339554
1781830395000.0,323973
1781830410000.0,281352
1781830425000.0,269221
1781830440000.0,282501
1781830455000.0,291545
1781830470000.0,250426
1781830485000.0,315526
1781830500000.0,246968
1781830515000.0,282798
1781830530000.0,295334
1781830545000.0,348540
1781830560000.0,297123
1781830575000.0,293610
1781830590000.0,268033
1781830605000.0,294857
1781830620000.0,284228
1781830635000.0,239341
1781830650000.0,247113
1781830665000.0,303037
1781830680000.0,296838
1781830695000.0,258164
1781830710000.0,305500
1781830725000.0,277023
1781830740000.0,273716
1781830755000.0,322688
1781830770000.0,274066
1781830785000.0,241326
1781830800000.0,227013
1781830815000.0,278187
1781830830000.0,273841
1781830845000.0,256581
1781830860000.0,263670
1781830875000.0,281448
1781830890000.0,319602
1781830905000.0,300268
1781830920000.0,323066
1781830935000.0,313784
1781830950000.0,281306
1781830965000.0,290885
1781830980000.0,294556
1781830995000.0,284703
1781831010000.0,279058
1781831025000.0,285980
1781831040000.0,264517
1781831055000.0,261916
1781831070000.0,294936
1781831085000.0,253960
1781831100000.0,249410
1781831115000.0,242472
1781831130000.0,203262
1781831145000.0,253174
1781831160000.0,255766
1781831175000.0,263671
1781831190000.0,208457
1781831205000.0,199111
1781831220000.0,224022
1781831235000.0,187003
1781831250000.0,205662
1781831265000.0,227271
1781831280000.0,265092
1781831295000.0,252711
1781831310000.0,248022
1781831325000.0,234294
1781831340000.0,242189
1781831355000.0,267654
1781831370000.0,200508
1781831385000.0,164880
1781831400000.0,161044
1781831415000.0,171265
1781831430000.0,206418
1781831445000.0,266536
1781831460000.0,221284
1781831475000.0,213356
1781831490000.0,228668
1781831505000.0,242224
1781831520000.0,160825
1781831535000.0,193366
1781831550000.0,237259
1781831565000.0,220049
1781831580000.0,193952
1781831595000.0,164600
1781831610000.0,220514
1781831625000.0,164675
1781831640000.0,193470
1781831655000.0,213111
1781831670000.0,247261
1781831685000.0,238214
1781831700000.0,210427
1781831715000.0,195822
1781831730000.0,174165
1781831745000.0,238592
1781831760000.0,197874
1781831775000.0,190129
1781831790000.0,193261
1781831805000.0,202511
1781831820000.0,231182
1781831835000.0,245707
1781831850000.0,182038
1781831865000.0,199448
1781831880000.0,226666
1781831895000.0,196035
1781831910000.0,221922
1781831925000.0,220136
1781831940000.0,239034
1781831955000.0,196501
1781831970000.0,178500
1781831985000.0,169925
1781832000000.0,162874
1781832015000.0,237381
1781832030000.0,176456
1781832045000.0,187890
1781832060000.0,132506
1781832075000.0,246351
1781832090000.0,261782
1781832105000.0,240902
1781832120000.0,204704
1781832135000.0,156844
1781832150000.0,191868
1781832165000.0,219686
1781832180000.0,255876
1781832195000.0,184535
1781832210000.0,167592
1781832225000.0,152881
1781832240000.0,137475
1781832255000.0,155325
1781832270000.0,144282
1781832285000.0,139393
1781832300000.0,127494
1781832315000.0,135507
1781832330000.0,122843
1781832345000.0,125303
1781832360000.0,135335
1781832375000.0,180308
1781832390000.0,150498
1781832405000.0,113982
1781832420000.0,191752
1781832435000.0,167830
1781832450000.0,164208
1781832465000.0,145809
1781832480000.0,125230
1781832495000.0,118977
1781832510000.0,175317
1781832525000.0,156399
1781832540000.0,167317
1781832555000.0,132584
1781832570000.0,141242
1781832585000.0,120876
1781832600000.0,147661
1781832615000.0,177143
1781832630000.0,157367
1781832645000.0,168549
1781832660000.0,159901
1781832675000.0,168006
1781832690000.0,130627
1781832705000.0,97030
1781832720000.0,108053
1781832735000.0,109693
1781832750000.0,136230
1781832765000.0,124638
1781832780000.0,149626
1781832795000.0,145710
1781832810000.0,150016
1781832825000.0,135414
1781832840000.0,127133
1781832855000.0,139994
1781832870000.0,104298
1781832885000.0,87845
1781832900000.0,150564
1781832915000.0,154227
1781832930000.0,142015
1781832945000.0,156672
1781832960000.0,152561
1781832975000.0,94073
1781832990000.0,86253
1781833005000.0,69056
1781833020000.0,112280
1781833035000.0,119599
1781833050000.0,133679
1781833065000.0,140809
1781833080000.0,122904
1781833095000.0,155887
1781833110000.0,183416
1781833125000.0,116842
1781833140000.0,147987
1781833155000.0,118987
1781833170000.0,124848
1781833185000.0,98224
1781833200000.0,97186
1781833215000.0,88328
1781833230000.0,101888
1781833245000.0,120336
1781833260000.0,92574
1781833275000.0,124278
1781833290000.0,119374
1781833305000.0,124561
1781833320000.0,111810
1781833335000.0,108393
1781833350000.0,98292
1781833365000.0,92381
1781833380000.0,134143
1781833395000.0,90585
1781833410000.0,118413
1781833425000.0,130935
1781833440000.0,118442
1781833455000.0,96917
1781833470000.0,77882
1781833485000.0,77598
1781833500000.0,123025
1781833515000.0,95377
1781833530000.0,102826
1781833545000.0,98019
1781833560000.0,75266
1781833575000.0,91624
1781833590000.0,67074
1781833605000.0,79567
1781833620000.0,115347
1781833635000.0,125465
1781833650000.0,121520
1781833665000.0,78714
1781833680000.0,99258
1781833695000.0,90516
1781833710000.0,83345
1781833725000.0,103070
1781833740000.0,113238
1781833755000.0,103134
1781833770000.0,70143
1781833785000.0,80596
1781833800000.0,106927
1781833815000.0,83114
1781833830000.0,114073
1781833845000.0,122683
1781833860000.0,81316
1781833875000.0,78577
1781833890000.0,75748
1781833905000.0,60371
1781833920000.0,118879
1781833935000.0,78830
1781833950000.0,86637
1781833965000.0,113518
1781833980000.0,98478
1781833995000.0,59147
1781834010000.0,92783
1781834025000.0,104245
1781834040000.0,101653
1781834055000.0,101266
1781834070000.0,127387
1781834085000.0,104402
1781834100000.0,101666
1781834115000.0,109602
1781834130000.0,87666
1781834145000.0,86854
1781834160000.0,77013
1781834175000.0,69639
1781834190000.0,102926
1781834205000.0,123612
1781834220000.0,107420
1781834235000.0,110809
1781834250000.0,73543
1781834265000.0,58511
1781834280000.0,94588
1781834295000.0,72450
1781834310000.0,118087
1781834325000.0,98181
1781834340000.0,62955
1781834355000.0,55920
1781834370000.0,95058
1781834385000.0,59623
1781834400000.0,83634
1781834415000.0,91564
1781834430000.0,92610
1781834445000.0,87747
1781834460000.0,101622
1781834475000.0,89609
1781834490000.0,99421
1781834505000.0,136163
1781834520000.0,109119
1781834535000.0,86005
1781834550000.0,78830
1781834565000.0,91962
1781834580000.0,131481
1781834595000.0,104057
1781834610000.0,88537
1781834625000.0,100250
1781834640000.0,40936
1781834655000.0,64230
1781834670000.0,78744
1781834685000.0,82030
1781834700000.0,71588
1781834715000.0,87807
1781834730000.0,58759
1781834745000.0,55415
1781834760000.0,73755
1781834775000.0,77541
1781834790000.0,43976
1781834805000.0,86098
1781834820000.0,75266
1781834835000.0,68729
1781834850000.0,62186
1781834865000.0,53294
1781834880000.0,65960
1781834895000.0,71845
1781834910000.0,77442
1781834925000.0,111858
1781834940000.0,61358
1781834955000.0,113699
1781834970000.0,82160
1781834985000.0,99115
1781835000000.0,122388
1781835015000.0,115890
1781835030000.0,74650
1781835045000.0,69802
1781835060000.0,65529
1781835075000.0,51765
1781835090000.0,62276
1781835105000.0,73134
1781835120000.0,56323
1781835135000.0,70104
1781835150000.0,91178
1781835165000.0,35818
1781835180000.0,50380
1781835195000.0,71652
1781835210000.0,66022
1781835225000.0,62092
1781835240000.0,88713
1781835255000.0,56863
1781835270000.0,74770
1781835285000.0,42304
1781835300000.0,63163
1781835315000.0,59174
1781835330000.0,54906
1781835345000.0,64516
1781835360000.0,100724
1781835375000.0,97194
1781835390000.0,94118
1781835405000.0,60226
1781835420000.0,30150
1781835435000.0,60826
1781835450000.0,80098
1781835465000.0,74601
1781835480000.0,45978
1781835495000.0,87810
1781835510000.0,62778
1781835525000.0,42328
1781835540000.0,58101
1781835555000.0,38646
1781835570000.0,76538
1781835585000.0,94105
1781835600000.0,72731
1781835615000.0,64087
1781835630000.0,50191
1781835645000.0,69509
1781835660000.0,48389
1781835675000.0,32787
1781835690000.0,73591
1781835705000.0,61545
1781835720000.0,102032
1781835735000.0,84460
1781835750000.0,74956
1781835765000.0,73766
1781835780000.0,63791
1781835795000.0,57654
1781835810000.0,92532
1781835825000.0,78014
1781835840000.0,64965
1781835855000.0,65980
1781835870000.0,60451
1781835885000.0,78619
1781835900000.0,70959
1781835915000.0,57932
1781835930000.0,47368
1781835945000.0,47831
1781835960000.0,59152
1781835975000.0,45604
1781835990000.0,52567
1781836005000.0,36676
1781836020000.0,44483
1781836035000.0,61512
1781836050000.0,70342
1781836065000.0,84458
1781836080000.0,84755
1781836095000.0,60322
1781836110000.0,70955
1781836125000.0,42552
1781836140000.0,33674
1781836155000.0,48820
1781836170000.0,53968
1781836185000.0,82040
1781836200000.0,55497
1781836215000.0,45168
1781836230000.0,53615
1781836245000.0,38772
1781836260000.0,77526
1781836275000.0,45724
1781836290000.0,33985
1781836305000.0,50579
1781836320000.0,56994
1781836335000.0,75796
1781836350000.0,51306
1781836365000.0,60407
1781836380000.0,53224
1781836395000.0,60286
1781836410000.0,33752
1781836425000.0,49159
1781836440000.0,41811
1781836455000.0,70377
1781836470000.0,55763
1781836485000.0,64819
1781836500000.0,60975
1781836515000.0,57081
1781836530000.0,60204
1781836545000.0,54130
1781836560000.0,85984
1781836575000.0,78747
1781836590000.0,79157
1781836605000.0,54714
1781836620000.0,62026
1781836635000.0,76142
1781836650000.0,63142
1781836665000.0,62779
1781836680000.0,59136
1781836695000.0,53459
1781836710000.0,61975
1781836725000.0,35906
1781836740000.0,30276
1781836755000.0,35974
1781836770000.0,34130
1781836785000.0,45296
1781836800000.0,79550
1781836815000.0,47466
1781836830000.0,58250
1781836845000.0,73159
1781836860000.0,66582
1781836875000.0,81173
1781836890000.0,72084
1781836905000.0,63448
1781836920000.0,43387
1781836935000.0,63494
1781836950000.0,39506
1781836965000.0,35420
1781836980000.0,74766
1781836995000.0,59243
1781837010000.0,47924
1781837025000.0,59212
1781837040000.0,58587
1781837055000.0,57798
1781837070000.0,62208
1781837085000.0,75211
1781837100000.0,51481
1781837115000.0,82476
1781837130000.0,53214
1781837145000.0,52304
1781837160000.0,69808
1781837175000.0,53639
1781837190000.0,70287
1781837205000.0,90584
1781837220000.0,66796
1781837235000.0,109974
1781837250000.0,108849
1781837265000.0,74017
1781837280000.0,91831
1781837295000.0,78793
1781837310000.0,110904
1781837325000.0,73196
1781837340000.0,96605
1781837355000.0,67678
1781837370000.0,43371
1781837385000.0,74738
1781837400000.0,49616
1781837415000.0,89622
1781837430000.0,85412
1781837445000.0,92596
1781837460000.0,113854
1781837475000.0,93704
1781837490000.0,75935
1781837505000.0,74508
1781837520000.0,131484
1781837535000.0,105002
1781837550000.0,65793
1781837565000.0,52264
1781837580000.0,62707
1781837595000.0,47343
1781837610000.0,49306
1781837625000.0,70036
1781837640000.0,77799
1781837655000.0,87426
1781837670000.0,51112
1781837685000.0,71291
1781837700000.0,57603
1781837715000.0,78172
1781837730000.0,68341
