time_index,card.nic.bps.avg.r
1781829600000.0,1029928800
1781829615000.0,471614480
1781829630000.0,346269800
1781829645000.0,517715080
1781829660000.0,361532160
1781829675000.0,355789336
1781829690000.0,356549800
1781829705000.0,350930480
1781829720000.0,354688820
1781829735000.0,441306800
1781829750000.0,351309560
1781829765000.0,354141040
1781829780000.0,356555960
1781829795000.0,350710016
1781829810000.0,355541680
1781829825000.0,355352652
1781829840000.0,356033384
1781829855000.0,355186600
1781829870000.0,353134336
1781829885000.0,550698280
1781829900000.0,352235240
1781829915000.0,348642892
1781829930000.0,372485016
1781829945000.0,352462560
1781829960000.0,355740520
1781829975000.0,355329760
1781829990000.0,358388800
1781830005000.0,727745960
1781830020000.0,355871880
1781830035000.0,351295640
1781830050000.0,355837184
1781830065000.0,357734800
1781830080000.0,350302920
1781830095000.0,355016800
1781830110000.0,349012840
1781830125000.0,350062336
1781830140000.0,353922944
1781830155000.0,350735744
1781830170000.0,355497600
1781830185000.0,348712320
1781830200000.0,387411680
1781830215000.0,1196406000
1781830230000.0,1526007080
1781830245000.0,1729432560
1781830260000.0,2226779200
1781830275000.0,1001199120
1781830290000.0,2029044520
1781830305000.0,2271608800
1781830320000.0,2370860640
1781830335000.0,2364739360
1781830350000.0,2324581800
1781830365000.0,2272318800
1781830380000.0,2234111200
1781830395000.0,2243695840
1781830410000.0,2243228400
1781830425000.0,2241912400
1781830440000.0,2239339720
1781830455000.0,2259766800
1781830470000.0,2236486800
1781830485000.0,2210807800
1781830500000.0,2185797440
1781830515000.0,2183667200
1781830530000.0,2171730000
1781830545000.0,2184117440
1781830560000.0,2243948800
1781830575000.0,2252204800
1781830590000.0,1940284400
1781830605000.0,1621023760
1781830620000.0,470216920
1781830635000.0,352426720
1781830650000.0,352465024
1781830665000.0,354496800
1781830680000.0,353432780
1781830695000.0,362251188
1781830710000.0,657986240
1781830725000.0,354242892
1781830740000.0,352070400
1781830755000.0,354681120
1781830770000.0,652700160
1781830785000.0,349415800
1781830800000.0,354752616
1781830815000.0,581867480
1781830830000.0,391128280
1781830845000.0,349892320
1781830860000.0,353670068
1781830875000.0,355418400
1781830890000.0,350940544
1781830905000.0,354325504
1781830920000.0,1095175600
1781830935000.0,355396680
1781830950000.0,359560840
1781830965000.0,387762868
1781830980000.0,353859360
1781830995000.0,353514572
1781831010000.0,352780320
1781831025000.0,350118000
1781831040000.0,603644120
1781831055000.0,350882228
1781831070000.0,358485300
1781831085000.0,390081640
1781831100000.0,502217360
1781831115000.0,1556347400
1781831130000.0,2136720160
1781831145000.0,2268009080
1781831160000.0,2396628800
1781831175000.0,2290740400
1781831190000.0,1934648400
1781831205000.0,1307271280
1781831220000.0,1685442440
1781831235000.0,1571787600
1781831250000.0,1179798120
1781831265000.0,1124909760
1781831280000.0,1159023840
1781831295000.0,1040769040
1781831310000.0,1102444120
1781831325000.0,1068380960
1781831340000.0,1029061200
1781831355000.0,1026232640
1781831370000.0,1020358360
1781831385000.0,1021989480
1781831400000.0,1020839000
1781831415000.0,1008576720
1781831430000.0,1028940680
1781831445000.0,1037591600
1781831460000.0,650330280
1781831475000.0,353260468
1781831490000.0,351214200
1781831505000.0,349428200
1781831520000.0,362205824
1781831535000.0,351927520
1781831550000.0,358547200
1781831565000.0,349569896
1781831580000.0,395788520
1781831595000.0,479065400
1781831610000.0,352381120
1781831625000.0,358595660
1781831640000.0,388782720
1781831655000.0,354248360
1781831670000.0,349683400
1781831685000.0,351138944
1781831700000.0,355046560
1781831715000.0,356875544
