time_index,card.nic.pps.avg.t
1781829600000.0,807
1781829615000.0,903
1781829630000.0,907
1781829645000.0,792
1781829660000.0,839
1781829675000.0,775
1781829690000.0,815
1781829705000.0,804
1781829720000.0,794
1781829735000.0,810
1781829750000.0,787
1781829765000.0,769
1781829780000.0,796
1781829795000.0,782
1781829810000.0,794
1781829825000.0,767
1781829840000.0,768
1781829855000.0,818
1781829870000.0,833
1781829885000.0,806
1781829900000.0,796
1781829915000.0,758
1781829930000.0,768
1781829945000.0,763
1781829960000.0,912
1781829975000.0,791
1781829990000.0,755
1781830005000.0,785
1781830020000.0,797
1781830035000.0,811
1781830050000.0,939
1781830065000.0,809
1781830080000.0,856
1781830095000.0,760
1781830110000.0,812
1781830125000.0,768
1781830140000.0,789
1781830155000.0,1266
1781830170000.0,963
1781830185000.0,795
1781830200000.0,831
1781830215000.0,976
1781830230000.0,790
1781830245000.0,752
1781830260000.0,783
1781830275000.0,777
1781830290000.0,767
1781830305000.0,836
1781830320000.0,805
1781830335000.0,802
1781830350000.0,790
1781830365000.0,786
1781830380000.0,795
1781830395000.0,778
1781830410000.0,824
1781830425000.0,764
1781830440000.0,792
1781830455000.0,718
1781830470000.0,775
1781830485000.0,769
1781830500000.0,732
1781830515000.0,749
1781830530000.0,764
1781830545000.0,768
1781830560000.0,789
1781830575000.0,751
1781830590000.0,756
1781830605000.0,798
1781830620000.0,732
1781830635000.0,772
1781830650000.0,729
1781830665000.0,751
1781830680000.0,786
1781830695000.0,752
1781830710000.0,1039
1781830725000.0,768
1781830740000.0,742
1781830755000.0,797
1781830770000.0,765
1781830785000.0,788
1781830800000.0,716
1781830815000.0,719
1781830830000.0,691
1781830845000.0,695
1781830860000.0,744
1781830875000.0,738
1781830890000.0,790
1781830905000.0,744
1781830920000.0,751
1781830935000.0,788
1781830950000.0,745
1781830965000.0,729
1781830980000.0,730
1781830995000.0,793
1781831010000.0,724
1781831025000.0,728
1781831040000.0,734
1781831055000.0,705
1781831070000.0,647
1781831085000.0,737
1781831100000.0,830
1781831115000.0,920
1781831130000.0,755
1781831145000.0,753
1781831160000.0,808
1781831175000.0,784
1781831190000.0,754
1781831205000.0,745
1781831220000.0,732
1781831235000.0,774
1781831250000.0,730
1781831265000.0,734
1781831280000.0,743
1781831295000.0,756
1781831310000.0,793
1781831325000.0,736
1781831340000.0,729
1781831355000.0,821
1781831370000.0,724
1781831385000.0,793
1781831400000.0,730
1781831415000.0,750
1781831430000.0,736
1781831445000.0,660
1781831460000.0,719
1781831475000.0,722
1781831490000.0,676
1781831505000.0,716
1781831520000.0,675
1781831535000.0,719
1781831550000.0,655
1781831565000.0,669
1781831580000.0,664
1781831595000.0,665
1781831610000.0,686
1781831625000.0,653
1781831640000.0,666
1781831655000.0,699
1781831670000.0,670
1781831685000.0,697
1781831700000.0,662
1781831715000.0,649
1781831730000.0,686
1781831745000.0,656
1781831760000.0,659
1781831775000.0,651
1781831790000.0,664
1781831805000.0,626
1781831820000.0,609
1781831835000.0,638
1781831850000.0,612
1781831865000.0,641
1781831880000.0,842
1781831895000.0,6835
1781831910000.0,6968
1781831925000.0,6856
1781831940000.0,7033
1781831955000.0,6976
1781831970000.0,6823
1781831985000.0,3005
1781832000000.0,652
1781832015000.0,636
1781832030000.0,646
1781832045000.0,632
1781832060000.0,651
1781832075000.0,620
1781832090000.0,658
1781832105000.0,651
1781832120000.0,627
1781832135000.0,655
1781832150000.0,634
1781832165000.0,609
1781832180000.0,656
1781832195000.0,660
1781832210000.0,652
1781832225000.0,633
1781832240000.0,617
1781832255000.0,676
1781832270000.0,604
1781832285000.0,637
1781832300000.0,641
1781832315000.0,608
1781832330000.0,644
1781832345000.0,589
1781832360000.0,605
1781832375000.0,605
1781832390000.0,587
1781832405000.0,626
1781832420000.0,587
1781832435000.0,616
1781832450000.0,623
1781832465000.0,616
1781832480000.0,654
1781832495000.0,594
1781832510000.0,650
1781832525000.0,624
1781832540000.0,618
1781832555000.0,634
1781832570000.0,586
1781832585000.0,610
1781832600000.0,610
1781832615000.0,591
1781832630000.0,620
1781832645000.0,587
1781832660000.0,653
1781832675000.0,622
1781832690000.0,614
1781832705000.0,630
1781832720000.0,592
1781832735000.0,600
1781832750000.0,755
1781832765000.0,586
1781832780000.0,623
1781832795000.0,604
1781832810000.0,612
1781832825000.0,589
1781832840000.0,590
1781832855000.0,614
1781832870000.0,598
1781832885000.0,654
1781832900000.0,626
1781832915000.0,594
1781832930000.0,615
1781832945000.0,570
1781832960000.0,618
1781832975000.0,628
1781832990000.0,623
1781833005000.0,621
1781833020000.0,584
1781833035000.0,595
1781833050000.0,584
1781833065000.0,578
1781833080000.0,648
1781833095000.0,605
1781833110000.0,614
1781833125000.0,645
1781833140000.0,624
1781833155000.0,684
1781833170000.0,607
1781833185000.0,630
1781833200000.0,648
1781833215000.0,621
1781833230000.0,618
1781833245000.0,572
1781833260000.0,569
1781833275000.0,601
1781833290000.0,588
