time_index,card.nic.bps.avg.t
1781829600000.0,1029651880
1781829615000.0,472140800
1781829630000.0,347999200
1781829645000.0,518363200
1781829660000.0,363883720
1781829675000.0,357864640
1781829690000.0,358838800
1781829705000.0,353150056
1781829720000.0,355595600
1781829735000.0,443072480
1781829750000.0,352110240
1781829765000.0,355211852
1781829780000.0,358061976
1781829795000.0,352012468
1781829810000.0,357363304
1781829825000.0,358115736
1781829840000.0,357822560
1781829855000.0,356618984
1781829870000.0,355011280
1781829885000.0,554331040
1781829900000.0,353918480
1781829915000.0,349517160
1781829930000.0,372844544
1781829945000.0,354162160
1781829960000.0,357399640
1781829975000.0,355928600
1781829990000.0,359912000
1781830005000.0,734481880
1781830020000.0,357292200
1781830035000.0,352974900
1781830050000.0,358007880
1781830065000.0,359033920
1781830080000.0,351548492
1781830095000.0,356263500
1781830110000.0,350369816
1781830125000.0,351097064
1781830140000.0,355963280
1781830155000.0,351719120
1781830170000.0,357204812
1781830185000.0,350847464
1781830200000.0,391385240
1781830215000.0,1195139680
1781830230000.0,1508379560
1781830245000.0,1724275200
1781830260000.0,2207190640
1781830275000.0,998760000
1781830290000.0,2033912640
1781830305000.0,2267472280
1781830320000.0,2381332400
1781830335000.0,2377141880
1781830350000.0,2374421720
1781830365000.0,2367637080
1781830380000.0,2353536400
1781830395000.0,2364167360
1781830410000.0,2361878800
1781830425000.0,2362517600
1781830440000.0,2352569360
1781830455000.0,2357165200
1781830470000.0,2358725840
1781830485000.0,2330875200
1781830500000.0,2303531000
1781830515000.0,2304294400
1781830530000.0,2289280200
1781830545000.0,2301755000
1781830560000.0,2351745040
1781830575000.0,2369876800
1781830590000.0,2042351200
1781830605000.0,1698360200
1781830620000.0,482542200
1781830635000.0,355383988
1781830650000.0,354082536
1781830665000.0,356616280
1781830680000.0,354759240
1781830695000.0,357629200
1781830710000.0,660835480
1781830725000.0,355247080
1781830740000.0,354067560
1781830755000.0,356481460
1781830770000.0,656118880
1781830785000.0,350709428
1781830800000.0,356226520
1781830815000.0,581842800
1781830830000.0,393236584
1781830845000.0,350991028
1781830860000.0,354963760
1781830875000.0,356561560
1781830890000.0,352733200
1781830905000.0,355659700
1781830920000.0,1111084400
1781830935000.0,357503384
1781830950000.0,362096800
1781830965000.0,391690840
1781830980000.0,355568024
1781830995000.0,354931160
1781831010000.0,355048012
1781831025000.0,351784344
1781831040000.0,602382640
1781831055000.0,352335160
1781831070000.0,359351880
1781831085000.0,376573824
1781831100000.0,486289240
1781831115000.0,1521316000
1781831130000.0,2164466800
1781831145000.0,2201156600
1781831160000.0,2375874560
1781831175000.0,2277669600
1781831190000.0,1962138000
1781831205000.0,1285072000
1781831220000.0,1695012880
1781831235000.0,1588379440
1781831250000.0,1180815040
1781831265000.0,1128756320
1781831280000.0,1160660000
1781831295000.0,1039365840
1781831310000.0,1106097760
1781831325000.0,1052668640
1781831340000.0,1029459360
1781831355000.0,1027434800
1781831370000.0,1021999120
